,original_index,context_translated,question_translated,text_translated
0,15000,"මාලි (i / ˈmɑːli /; ප්‍රංශ: [maˈli]), නිල වශයෙන් මාලි ජනරජය (ප්‍රංශ: රෙපුබ්ලික් ඩු මාලි) යනු බටහිර අප්‍රිකාවේ ගොඩබිම් සහිත රටකි. වර්ග කිලෝමීටර් 1,240,000 (වර්ග සැතපුම් 480,000) ක භූමි ප්‍රමාණයකින් යුත් මාලි අප්‍රිකාවේ අටවන විශාලතම රටයි. මාලි හි ජනගහනය මිලියන 14.5 කි. එහි අගනුවර වන්නේ බමාකෝ ය. මාලි කලාප අටකින් සමන්විත වන අතර උතුරේ මායිම් සහරා කාන්තාරයේ මැදට ගැඹුරට ළඟා වන අතර රටේ දකුණු කොටසෙහි බහුතරයක් වැසියන් වාසය කරන අතර නයිජර් සහ සෙනෙගල් ගංගා දක්නට ලැබේ. රටේ ආර්ථිකය කෘෂිකර්මාන්තය සහ ධීවර කටයුතු පිළිබඳ කේන්ද්‍රගත වේ. මාලි හි ප්‍රමුඛතම ස්වාභාවික සම්පත්වලින් සමහරක් රත්‍රන් වන අතර අප්‍රිකානු මහාද්වීපයේ තුන්වන විශාලතම රන් නිෂ්පාදකයා වන අතර ලුණු ද වේ. ජනගහනයෙන් අඩක් පමණ දිනකට ඩොලර් 1.25 (එක්සත් ජනපද) ජාත්‍යන්තර දරිද්‍රතා රේඛාවට පහළින් ජීවත් වේ. ජනගහනයෙන් බහුතරයක් (55%) නිකායට අයත් මුස්ලිම්වරු වෙති. ජනගහනයෙන් බහුතරයක් (55%) නිකායට අයත් මුස්ලිම්වරු වෙති.",මාලිගේ අගනුවර කුමක්ද?,බමාකෝ
1,15001,"ක්වීන් 1980 දශකයේ සිය දිවිය ආරම්භ කළේ ද ගේම් සමඟිනි. එහි ""පිස්සු ලිට්ල් තින්ග් කැල්ඩ් ලව්"" සහ ""තවත් එකක් දූවිලි සපාකයි"" යන ගීත දෙකම එක්සත් ජනපදයේ අංක එකේ ස්ථානයට පත්විය. ලොස් ඇන්ජලීස් හි ක්වීන් ප්‍රසංගයකට සහභාගී වීමෙන් පසු මයිකල් ජැක්සන් මර්කරිට පිටුපසට යෝජනා කළේ “තවත් කෙනෙක් දූවිලි සපාකයි” තනි ගීතයක් ලෙස නිකුත් කරන ලෙසටය. 1980 ඔක්තෝම්බර් මාසයේදී එය සති තුනක් ගත කළේය. මෙම ඇල්බමය සති පහක් සඳහා බිල්බෝඩ් 200 හි ඉහළින්ම සිටි අතර එක්සත් ජනපදයේ පිටපත් මිලියන හතරකට වඩා අලෙවි විය. එය ක්වීන් ඇල්බමයේ සංස්ෙල්ෂකයක පළමු පෙනුම ද විය. හෙරෙටෝෆෝර් හි ඔවුන්ගේ ඇල්බමවල සුවිශේෂී ""සංස්ලේෂක නැත!"" අත් සටහන. මෙම සටහන සංගීත කණ්ඩායම විසින් සින්ත-විරෝධී, දැඩි-දැඩි-ස්ථාවර ස්ථාවරයක් පිළිබිඹු කරන බවට පුළුල් ලෙස උපකල්පනය කර ඇත, නමුත් පසුව නිෂ්පාදක රෝයි තෝමස් බේකර් විසින් එම ඇල්බමවල බහු ස්ථර ඒකල නිර්මාණය කරන ලද බව පැහැදිලි කිරීමේ උත්සාහයක් ලෙස හෙළි විය. ගිටාර්, සින්තස් නොව, වාර්තාගත සමාගම් විධායකයන් එකල උපකල්පනය කරමින් සිටියහ. 1980 සැප්තැම්බරයේදී රැජින මැඩිසන් චතුරශ්‍ර උද්‍යානයේදී විකුණන ලද ප්‍රදර්ශන තුනක් ඉදිරිපත් කළේය. 1980 දී ක්වීන් විසින් ෆ්ලෑෂ් ගෝර්ඩන් සඳහා පටිගත කරන ලද හ tra පටය ද නිකුත් කරන ලදී. 1981 ජනවාරියේ පැවති ඇමරිකානු සංගීත සම්මාන උළෙලේදී ""තවත් එකක් බයිට් ද ඩස්ට්"" ප්‍රියතම පොප් / රොක් සිංගල් සඳහා වන සම්මානය දිනා ගත් අතර ක්වීන් ප්‍රියතම පොප් / රොක් බෑන්ඩ්, ඩුඕ හෝ සමූහය සඳහා නම් කරන ලදී. 1981 ජනවාරියේ පැවති ඇමරිකානු සංගීත සම්මාන උළෙලේදී ""තවත් එකක් බයිට් ද ඩස්ට්"" ප්‍රියතම පොප් / රොක් සිංගල් සඳහා වන සම්මානය දිනා ගත් අතර ක්වීන් ප්‍රියතම පොප් / රොක් බෑන්ඩ්, ඩුඕ හෝ සමූහය සඳහා නම් කරන ලදී.",හොඳම පොප් / රොක් ගීතය සඳහා වන සම්මානය දිනාගත් රැජින ගීතය කුමක්ද?,තවත් කෙනෙක් දූවිලි සපාකයි
2,15002,"ආර්මේනියාව යුරෝපීය කවුන්සිලයේ සාමාජිකයෙකු වන අතර යුරෝපා සංගමය සමඟ විශේෂයෙන් මිත්‍ර රටවල් වන ප්‍රංශය සහ ග්‍රීසිය සමඟ මිත්‍ර සබඳතා පවත්වයි. 2005 සමීක්ෂණයකට අනුව ආර්මේනියාවේ ජනගහනයෙන් 64% ක් යුරෝපා සංගමයට බැඳීමට කැමති වනු ඇත. ආර්මේනියානු නිලධාරීන් කිහිප දෙනෙකුම තම රට අවසානයේ යුරෝපා සංගම් සාමාජික රටක් බවට පත්වීමේ අභිලාශය ප්‍රකාශ කර ඇති අතර, සමහරු අනාවැකි පළ කරන්නේ එය වසර කිහිපයකින් සාමාජිකත්වය සඳහා නිල ලංසුවක් ඉදිරිපත් කරනු ඇති බවයි. 2004 දී එහි හමුදා කොසෝවෝ හි නේටෝ ප්‍රමුඛ ජාත්‍යන්තර බලවේගයක් වන කේඑෆ්ඕආර් සමඟ එක් විය. එය යුරේසියානු ආර්ථික ප්‍රජාවේ සහ නොබැඳි ව්‍යාපාරයේ නිරීක්ෂණ සාමාජිකයෙකි. එය යුරේසියානු ආර්ථික ප්‍රජාවේ සහ නොබැඳි ව්‍යාපාරයේ නිරීක්ෂණ සාමාජිකයෙකි.",ආර්මේනියාව එයට සම්බන්ධ වීමට යුරෝපා සංගමය අපේක්ෂා කරන්නේ කවදාද?,අවුරුදු කිහිපයකින්
3,15003,"1993 දෙසැම්බරයේදී ෆාමිකොම් සමාගමට සමාන ප්‍රතිනිර්මාණයක් ලැබුණි. තවද ඒකකයේ මුදුනේ ආවරණය කර ඇති තව් හරහා කාට්රිජ් පටවන අතර දෘ w වයර් නොවන පාලක භාවිතා කරයි. HVC-001 මෙන් RF පමණක් නොව HVC-101 සංයුක්ත වීඩියෝ ප්‍රතිදානය භාවිතා කළ නිසා නින්ටෙන්ඩෝ නවතම මාදිලිය AV Famicom (AV 仕 様 ミ コ ン, Eibui Shiyō Famikon?) ලෙස අලෙවි කළේය. නව පාලකයන්ට මුල් කොන්සෝලයේ දෙවන පාලකය මෙන් මයික්‍රෝෆෝනයක් නොමැති බැවින්, සමහර ක්‍රීඩා වන ඩිස්ක් සිස්ටම් අනුවාදය වන ද ලෙජන්ඩ් ඔෆ් සෙල්ඩා සහ රයිඩ් ඔෆ් බංගලිං බොක්ක මත ධාවනය වන විට නැවත නැවත කළ නොහැකි උපක්‍රම ඇත. නවීකරණය කරන ලද පාලකයක් නොමැතිව HVC-101 Famicom. කෙසේ වෙතත්, HVC-101 Famicom එකම පාලක වරායක් තිබීම නිසා බොහෝ NES පාලකයන් සමඟ අනුකූල වේ. නින්ටෙන්ඩෝ විසින් ත්‍රිමාණ ග්‍රැෆික් හැකියාව සහිත හෙඩ්සෙට් එකක් ද නිකුත් කර තිබුණි. කෙසේ වෙතත්, මෙම පර්යන්තය කිසි විටෙකත් ජපානයෙන් පිටත නිකුත් නොවීය. [උපුටා දැක්වීම අවශ්‍යයි] [උපුටා දැක්වීම අවශ්‍යයි]",RF පමණක් වූ උපාංගය කුමක්ද?,HVC-001
4,15004,"නිශ්චිත අනුනාද සංඛ්‍යාතයක් වටා අනුනාද ඇන්ටනා භාවිතා කිරීමට අපේක්ෂා කෙරේ; එබැවින් අපේක්ෂිත යෙදුමේ සංඛ්‍යාත පරාසයට ගැලපෙන පරිදි ඇන්ටෙනාවක් සෑදිය යුතුය. විශේෂිත ඇන්ටෙනා සැලසුමක් මඟින් විශේෂිත පෝෂණ ස්ථාන සම්බාධනයක් ඉදිරිපත් කරනු ඇත. මෙය ඇන්ටෙනාවක් තෝරා ගැනීමට බලපානු ඇති අතර, අනෙක් ලක්ෂණ පවත්වා ගනිමින් (කාර්යක්ෂමතාව නැතිවිය හැකි හැර) ඇන්ටෙනාවේ සම්බාධනය ගැලපෙන ජාලයක් භාවිතා කරමින් පද්ධතියක අපේක්ෂිත සම්බාධනය මට්ටමට අනුවර්තනය කළ හැකිය. මෙය ඇන්ටෙනාවක් තෝරා ගැනීමට බලපානු ඇති අතර, අනෙක් ලක්ෂණ පවත්වා ගනිමින් (කාර්යක්ෂමතාව නැතිවිය හැකි හැර) ඇන්ටෙනාවේ සම්බාධනය ගැලපෙන ජාලයක් භාවිතා කරමින් පද්ධතියක අපේක්ෂිත සම්බාධනය මට්ටමට අනුවර්තනය කළ හැකිය.",අපේක්ෂිත ප්‍රතිපෝෂණ ස්වාධීනත්වයට හේතු වන සාධකය කුමක්ද?,විශේෂිත ඇන්ටෙනා නිර්මාණය
5,15005,"නූතන ඉන්දියාව, පකිස්ථානය, ඇෆ්ගනිස්ථානය සහ ටජිකිස්තානය යන ප්‍රදේශ අත්පත් කර ගනිමින් කෂ්ගර් සහ එහි සගයා වන සොග්ඩියානා යටත් කර ගැනීම සඳහා බෑන් චාවෝ (ක්‍රි.ව. 102) කුෂාන් අධිරාජ්‍යයේ ආධාර ලබා ගත්තේය. ක්‍රි.ව. 90 දී හැන් සමඟ විවාහ සන්ධානයක් සඳහා කුෂාන් පාලක වීමා කඩ්ෆිසෙස් (ක්‍රි.ව. 90 - ක්‍රි.ව. 100) කළ ඉල්ලීම ප්‍රතික්ෂේප වූ විට, ඔහු බෑන් චාවෝට පහර දීමට තම හමුදා වකාන් (ඇෆ්ගනිස්ථානය) වෙත යැවීය. ගැටුම් අවසන් වූයේ සැපයුම් නොමැතිකම නිසා කුෂාන්වරු ඉවත් වීමෙනි. ක්‍රි. ක්‍රි.",ක්‍රි.ව. 90 දී හැන් සමඟ විවාහ සන්ධානයක් ඉල්ලා සිටි පාලකයා කවුද?,වීමා කඩ්ෆිසස්
6,15006,"යුද්ධය අවසානයේදී, ඇමරිකානු, බ්‍රිතාන්‍ය සහ සෝවියට් විද්‍යාත්මක බුද්ධි කණ්ඩායම් ජර්මනියේ රොකට් ඉංජිනේරුවන් සහ ජර්මානු රොකට් සහ ඔවුන් පදනම් කරගත් මෝස්තර අල්ලා ගැනීමට තරඟ කළහ. සෑම මිත්‍ර පාක්ෂිකයෙක්ම ජර්මානු රොකට් කණ්ඩායමේ සාමාජිකයින්ගෙන් කොටසක් අත්පත් කර ගත් නමුත් එක්සත් ජනපදය ඔපරේෂන් පේපර් ක්ලිප් මගින් වැඩි වාසි ලබා ගත්තේය, වොන් බ්‍රවුන් සහ ඔහුගේ බොහෝ ඉංජිනේරු කණ්ඩායම බඳවා ගත්තේය, පසුව ඇමරිකානු මිසයිල හා අභ්‍යවකාශ ගවේෂණ වැඩසටහන් සංවර්ධනය කිරීමට සහාය විය. එක්සත් ජනපදය සම්පූර්ණ V2 රොකට් විශාල ප්‍රමාණයක් ද අත්පත් කර ගත්තේය. එක්සත් ජනපදය සම්පූර්ණ V2 රොකට් විශාල ප්‍රමාණයක් ද අත්පත් කර ගත්තේය.",ඔපරේෂන් පේපර් ක්ලිප් අතරතුර එක්සත් ජනපදය කුමන ආකාරයේ මිසයිල අල්ලාගෙන තිබේද?,වී 2 රොකට්
7,15007,"1309 සිට 1376 දක්වා පාප් පදවියේ ආසනය අවිග්නොන් විය. 1378 දී පාප්තුමා රෝමයට නැවත පැමිණීමත් සමග පාප් රාජ්‍යය ප්‍රධාන ලෞකික බලවතෙකු බවට වර්ධනය විය. මූල්ය ව්යාපාර හරහා ෆ්ලෝරන්ස් ඉතාලි නගර රාජ්යයන් අතර ප්රසිද්ධියට පත් වූ අතර, ප්රධාන මෙඩිසි පවුල ඔවුන්ගේ කලාවට අනුග්රහය දැක්වීමෙන් පුනරුදයේ වැදගත් ප්රවර්ධකයන් බවට පත්විය. උතුරු ඉතාලියේ අනෙකුත් නගර රාජ්‍යයන් ද තම භූමි ප්‍රදේශ පුළුල් කර ඔවුන්ගේ බලය තහවුරු කර ගත්හ, මූලික වශයෙන් මිලාන් සහ වැනීසිය. 14 වන සියවසේ මුල් භාගය වන විට සිසිලියානු වෙස්පර්ස් යුද්ධය දකුණු ඉතාලිය සිසිලියේ අරගොන් රාජධානියක් සහ නේපල්ස් හි අංජෝ රාජධානියක් ලෙස බෙදා තිබුණි. 1442 දී රාජධානි දෙක effectively ලදායී ලෙස අරාබියානු පාලනය යටතේ එක්සත් විය. 1442 දී රාජධානි දෙක effectively ලදායී ලෙස අරාබියානු පාලනය යටතේ එක්සත් විය.",පාප් පදවිය නැවත රෝමයට පැමිණියේ කුමන වර්ෂයේදීද?,1378
8,15008,"ඉතිහාස ian ඒ. ජේ. පී. ටේලර් ප්‍රකාශ කළ පරිදි, යථාර්ථවාදී නිර්ණායකයෙන් රාජ්‍යයන් විනිශ්චය කිරීමට මෙම විෂය පිළිබඳ මුල් ලියවිලි නැඹුරු විය. පසුකාලීන ලේඛකයින් මෙම පරීක්ෂණය පුළුල් කර ඇති අතර සමස්ත මිලිටරි, ආර්ථික හා දේශපාලන ධාරිතාව අනුව බලය අර්ථ දැක්වීමට උත්සාහ කරයි. ජාත්‍යන්තර සබඳතා පිළිබඳ නවෝරල්වාදී න්‍යායේ නිර්මාතෘ කෙනත් වෝල්ට්ස් මහා බලය තීරණය කිරීම සඳහා නිර්ණායක පහක් භාවිතා කරයි: ජනගහනය සහ භූමිය; සම්පත් දායාදය; ආර්ථික හැකියාව; දේශපාලන ස්ථාවරත්වය සහ නිපුණතාව; සහ හමුදා ශක්තිය. මෙම පුළුල් කරන ලද නිර්ණායකයන් ශීර්ෂ තුනකට බෙදිය හැකිය: බල හැකියාවන්, අවකාශීය අංශ සහ තත්වය. මෙම පුළුල් කරන ලද නිර්ණායකයන් ශීර්ෂ තුනකට බෙදිය හැකිය: බල හැකියාවන්, අවකාශීය අංශ සහ තත්වය.",මහා බල අධිෂ් mination ානය සාරාංශගත කළ හැකි අංශ 3 මොනවාද?,"බල හැකියාවන්, අවකාශීය අංශ සහ තත්වය"
9,15009,"විවිධ ඒකක හෝ උප පද්ධති සංරචක අතර සම්මත දත්ත පරිහරණය කිරීම පරීක්ෂා කිරීම සඳහා සංරචක අතුරුමුහුණත් පරික්ෂා කිරීම භාවිතා කළ හැකිය. සම්මත කරන ලද දත්ත ""පණිවිඩ පැකට්"" ලෙස සැලකිය හැකි අතර, එක් ඒකකයකින් ජනනය කරන ලද දත්ත සඳහා පරාසය හෝ දත්ත වර්ග පරීක්ෂා කළ හැකි අතර වෙනත් ඒකකයකට යාමට පෙර වලංගුභාවය සඳහා පරීක්ෂා කළ හැකිය. අතුරුමුහුණත් පරීක්ෂා කිරීම සඳහා එක් විකල්පයක් නම්, දත්ත අයිතමවල වෙනම ලොග් ගොනුවක් සම්මත කර තබා ගැනීමයි, බොහෝ විට කාලරාමුව ලොග් වී දින හෝ සති ගණන් ඒකක අතර දත්ත දහස් ගණනක් විශ්ලේෂණය කිරීමට ඉඩ ලබා දේ. සමහර ආන්තික දත්ත අගයන් හැසිරවීම පරීක්ෂා කිරීම ටෙස්ට් වලට ඇතුළත් විය හැකි අතර අනෙක් අතුරු මුහුණත් විචල්‍යයන් සාමාන්‍ය අගයන් ලෙස සම්මත වේ. අතුරු මුහුණතක ඇති අසාමාන්‍ය දත්ත අගයන් ඊළඟ ඒකකයේ අනපේක්ෂිත ක්‍රියාකාරිත්වය පැහැදිලි කිරීමට උපකාරී වේ. සංරචක අතුරුමුහුණත් පරීක්ෂාව යනු කළු-කොටු පරීක්ෂණයේ විචලනයකි, උප පද්ධති සංරචකයක අදාළ ක්‍රියාවලින් ඔබ්බට දත්ත අගයන් කෙරෙහි අවධානය යොමු කිරීම. සංරචක අතුරුමුහුණත් පරීක්ෂාව යනු කළු-කොටු පරීක්ෂණයේ විචලනයකි, උප පද්ධති සංරචකයක අදාළ ක්‍රියාවලින් ඔබ්බට දත්ත අගයන් කෙරෙහි අවධානය යොමු කිරීම.",පණිවිඩ පැකට් යැවීමේදී භාවිතා කරන සංරචක අතුරුමුහුණත් පරීක්ෂණයේ විකල්පය කුමක්ද?,සම්මත කරන දත්ත අයිතමවල වෙනම ලොග් ගොනුවක් තබා ගන්න
