,Unnamed: 0,context_translated,question_translated,text_translated,original_index
0,0,"උතුරු අත්ලාන්තික් සාගරයේ බොස්ටන්හි වෙරළබඩ පිහිටීම එහි උෂ්ණත්වය පාලනය කරයි, නමුත් බොහෝ හිම සහ වැසි ඇති කළ හැකි නොර් ඊස්ටර් කාලගුණ පද්ධති වලට නගරය බෙහෙවින් නැඹුරු වේ. නගරයේ සාමාන්‍ය වර්ෂයකට අඟල් 43.8 (මි.මී. 1,110) ක වර්ෂාපතනයක් ඇති අතර එක් කන්නයකට අඟල් 43.8 (සෙ.මී. 111) හිම පතනයක් සිදු වේ. යමෙකු නගරයෙන් (විශේෂයෙන් නගරයට උතුරින් හා බටහිරින්) away තට යන විට හිම පතනය නාටකාකාර ලෙස ඉහළ යයි. එය සාගරයේ මධ්‍යස්ථ බලපෑමෙන් away ත්වේ. බොහෝ හිම පතනය සිදුවන්නේ දෙසැම්බර් සිට මාර්තු දක්වා වන අතර බොහෝ වසරවල අප්රේල් සහ නොවැම්බර් මාසවල මැනිය හැකි හිම නොමැති අතර මැයි සහ ඔක්තෝබර් මාසවල හිම දුර්ලභ වේ. හිම පතනයෙහි ඉහළ සිට වසර දක්වා විචල්‍යතාවයක් ද ඇත; නිදසුනක් ලෙස, 2011-12 ශීත saw තුව දුටුවේ හිම සමුච්චය 9.3 (සෙ.මී. 23.6) ක් පමණි, නමුත් පෙර ශීත, තුවේ දී අනුරූප අගය 81.0 (මීටර් 2.06) විය. []] []]",බොස්ටන් පිහිටා ඇත්තේ කුමන වෙරළ තීරයේද?,උතුරු අත්ලාන්තික්,0
1,1,"2002 දී ප්‍රදර්ශනය ආරම්භ වූ දා සිට, අයිඩල් ජයග්‍රාහකයින් දහහතර දෙනාගෙන් දහදෙනෙකු, එහි පළමු පස්දෙනා ද ඇතුළුව දකුණු ඇමරිකාවෙන් පැමිණ ඇත. මාලාවේ ධාවන කාලය තුළ තවත් කැපී පෙනෙන අවසන් තරඟකරුවන් විශාල සංඛ්‍යාවක් ඇමරිකානු දකුණෙන් පැමිණ ඇති අතර, ක්ලේ අයිකන්, කෙලී පික්ලර් සහ ක්‍රිස් ඩොට්‍රි යන අය උතුරු කැරොලිනාහි වෙති. 2012 දී, මේ දක්වා ප්‍රදර්ශනයේ සියලුම වාරවල අවසන් තරඟ සඳහා පෙනී සිටි තරඟකරුවන් 131 දෙනාගේ විශ්ලේෂණයකින් හෙළි වූයේ 48% ක් දකුණු ඇමරිකා එක්සත් ජනපදයට යම් සම්බන්ධයක් ඇති බවයි. 2012 දී, මේ දක්වා ප්‍රදර්ශනයේ සියලුම වාරවල අවසන් තරඟ සඳහා පෙනී සිටි තරඟකරුවන් 131 දෙනාගේ විශ්ලේෂණයකින් හෙළි වූයේ 48% ක් දකුණු ඇමරිකා එක්සත් ජනපදයට යම් සම්බන්ධයක් ඇති බවයි.",ඇමරිකානු අයිඩල් තරඟකරු ක්‍රිස් ඩොට්‍රි කුමන ප්‍රාන්තයෙන්ද?,උතුරු කැරොලිනාව,1
2,2,3 වන ශතවර්ෂයේ මැද භාගයේ සිට ජර්මානු ගෝත්‍රිකයන් රෝමානු ප්‍රදේශ ආක්‍රමණය කළහ. 275 දී පමණ රෝමානුවන්ට තවදුරටත් උතුරු දේශ සීමාව නඩත්තු කිරීමට නොහැකි වූ අතර උට්රෙක්ට් අතහැර දමන ලදී. ඊළඟ කාල පරිච්ඡේදය 270–650 ගැන එතරම් දැනුමක් නැත. යූට්රෙක්ට් ගැන මුලින්ම කතා කරන්නේ රෝමවරුන් හැර ගිය සියවස් කිහිපයකට පසුවය. හත්වන සියවසේ පළමුවන ඩැගෝබර්ට්ගේ පාලන සමයේදී ෆ්‍රෑන්ක්වරුන්ගේ වර්ධනය වන රාජධානිවල බලපෑම යටතේ රෝම බලකොටුවේ බිත්ති තුළ පල්ලියක් ඉදිකරන ලදි. ෆ්‍රීසියානුවන් සමඟ පවතින දේශසීමා ගැටුම්වලදී මෙම පළමු පල්ලිය විනාශ විය. ෆ්‍රීසියානුවන් සමඟ පවතින දේශසීමා ගැටුම්වලදී මෙම පළමු පල්ලිය විනාශ විය.,7 වන සියවසේ ඉදිකරන ලද දේ,රෝම බලකොටුවේ බිත්ති ඇතුළත පල්ලියක් ඉදිකරන ලදි,2
3,3,"රෝම බලකොටුවේ බිත්ති ඇතුළත පල්ලියක් ඉදිකරන ලදි මෙම ඇල්බමයේ චිකාගෝ හි රයිම්ෆෙස්ට්, මිකී හැල්ස්ටෙඩ්, මිස් ක්‍රිස් සහ ෂයිලා ජී වැනි රැප් ක්‍රීඩකයින් ඇතුළත් විය. මේ අතර, නිෂ්පාදනය හසුරුවනු ලැබුවේ බටහිර, ඇරෝස්ටාර්, බූග්ස් සහ බ්‍රයන් “ඕල් ඩේ” මිලර් විසිනි.",90 දශකයේ දී කැනේ විසින් සාදන ලද බීට්ස් කවුද?,දේශීය කලාකරුවන්,3
4,4,"ටුවාලුආන් භාෂාව සහ ඉංග්‍රීසි යනු ටුවාලු හි ජාතික භාෂා වේ. ටුවාලුවාන් යනු පොලිනීසියානු භාෂාවන්හි එලිසියානු කණ්ඩායමට අයත් වන අතර හවායි, මාඕරි, ටහීටියානු, සැමෝවාන් සහ ටොංගන් වැනි අනෙකුත් සියලුම පොලිනීසියානු භාෂාවන්ට දුරස්ථව සම්බන්ධ වේ. එය මයික්‍රොනීසියාවේ සහ උතුරු හා මධ්‍යම මෙලනෙසියාවේ පොලිනීසියානු වෙළඳසැල්වල කතා කරන භාෂාවන්ට වඩාත්ම සමීපව සම්බන්ධ වේ. 19 වන සියවසේ අගභාගයේ සහ 20 වන සියවසේ මුල් භාගයේ ක්‍රිස්තියානි මිෂනාරිවරුන් ප්‍රධාන වශයෙන් සමෝවාන් ජාතිකයින් වීම නිසා මෙම භාෂාව සමෝවාන් භාෂාවෙන් ණයට ගෙන ඇත. 19 වන සියවසේ අගභාගයේ සහ 20 වන සියවසේ මුල් භාගයේ ක්‍රිස්තියානි මිෂනාරිවරුන් ප්‍රධාන වශයෙන් සමෝවාන් ජාතිකයින් වීම නිසා මෙම භාෂාව සමෝවාන් භාෂාවෙන් ණයට ගෙන ඇත.",ඉංග්‍රීසි හැරුණු විට ටුවාලු හි ජාතික භාෂාව කුමක්ද?,ටුවාලුවාන්,4
5,5,ටුවාලුවාන් මෙම ක්‍රම LED නිෂ්පාදකයින් විසින් දිගටම භාවිතා කරනු ලැබේ.,සාර්ථක වාණිජමය භාවිතයන් සඳහා LED සඳහා නිෂ්පාදන පිරිවැය විශාල වශයෙන් අඩු කළේ කුමන දශකය තුළද?,1970 දශකය,5
6,6,"චිත්‍රාගාරයේ නිෂ්පාදන අංශය තවමත් අරගල කළේය. ද කිලර්ස් (1946) සහ ද නැකඩ් සිටි (1948) වැනි ජනප්‍රිය චිත්‍රපට කිහිපයක් තිබිය යුතු අතර, යුනිවර්සල්-ඉන්ටර්නැෂනල් හි නව නාට්‍ය චිත්‍රපට බොක්ස් ඔෆීස් හි බොහෝ විට බලාපොරොත්තු සුන් විය. 1940 දශකයේ අග භාගය වන විට ගොට්ස් පිටව ගිය අතර චිත්‍රාගාරය නැවත අඩු වියදම් චිත්‍රපට සඳහා නැවත පැමිණියේය. කතා කරන කොටළුවෙකු පිළිබඳ මාලාවක පළමු චිත්‍රපටය වන මිල අඩු ෆ්‍රැන්සිස් (1950) සහ මාලාවක කොටසක් වන මා සහ පා කෙට්ල් (1949) සමාගමේ ප්‍රධාන කොටස් බවට පත්විය. නැවත වරක්, ඇබට් සහ කොස්ටෙලෝගේ චිත්‍රපට, ඇබට් සහ කොස්ටෙලෝ මීට් ෆ්‍රැන්කන්ස්ටයින් (1948) ද ඇතුළුව, චිත්‍රාගාරයේ ඉහළම ආදායම් ලැබූ නිෂ්පාදන අතර විය. නමුත් මේ වන විට රැන්ක්ගේ උනන්දුව නැති වූ අතර ඔහුගේ කොටස් ආයෝජකයා වන මිල්ටන් රැක්මිල්ට විකුණන ලදී. ඔහුගේ ඩෙක රෙකෝර්ඩ්ස් යුනිවර්සල් හි පූර්ණ පාලනය 1952 දී භාර ගනු ඇත. ඇබට් සහ කොස්ටෙලෝ හැරුණු විට චිත්‍රාගාරය වෝල්ටර් ලැන්ට්ස් කාටූන් චිත්‍රාගාරය රඳවා තබා ගත් අතර එහි නිෂ්පාදනය යුනිවර්සල් සමඟ නිකුත් කරන ලදී. ජාත්‍යන්තර චිත්‍රපට. ඇබට් සහ කොස්ටෙලෝ හැරුණු විට, චිත්‍රාගාරය වෝල්ටර් ලැන්ට්ස් කාටූන් චිත්‍රාගාරය රඳවා ගත් අතර, එහි නිෂ්පාදනය යුනිවර්සල්-ඉන්ටර්නැෂනල් චිත්‍රපට සමඟ නිකුත් විය.",1948 දී නිකුත් කරන ලද ඇබට් සහ කොස්ටෙලෝ චිත්‍රපටය කුමක්ද?,ඇබට් සහ කොස්ටෙලෝ ෆ්‍රැන්කන්ස්ටයින් හමුවෙයි,6
7,7,"ඇබට් සහ කොස්ටෙලෝ ෆ්‍රැන්කන්ස්ටයින් හමුවෙයි නවකතාව නිකුත් වී 50 වන සංවත්සරය සැමරීම හා එහි බලපෑම පිළිබිඹු කිරීම. චිකාගෝ ට්‍රිබියුන් හි එරික් සෝර්න් ලීගේ “භාෂාව පොහොසත් ලෙස භාවිතා කිරීම” ගැන ප්‍රශංසා කරන නමුත් එහි ප්‍රධාන පාඩම වන්නේ “ධෛර්යය සැමවිටම දීප්තිමත් නොවේ, සැමවිටම ප්‍රමාණවත් නොවේ, නමුත් සෑම විටම විලාසිතාවයි” යන්නයි. සිඩ්නි මෝනිං හෙරල්ඩ් හි ජේන් සුලිවන් එකඟ වන්නේ, මෙම පොත සදාචාරය විමසා බලන විට “තවමත් නැවුම් හා බිහිසුණු කෝපයක් ඇති කරයි” යනුවෙනි. ඇමරිකානු නවකතාකරුවන් අතර දුර්ලභ ලී, ""ජාතිවාදය ගැන නොවැළැක්විය හැකි කිසිවක් නොමැති අතර එහි අත්තිවාරම ප්‍රශ්න කිරීමට විවෘතව ඇත"" යනුවෙන් ඇමරිකානු නවකතාකරුවන් අතර දුර්ලභ ලී ලියන බව ද ගාඩියන් පුවත්පතේ චිමාමාන්ඩා එන්ගෝසි අඩීචි පවසයි. ඇය ලියූ විලියම් ෆෝක්නර් සමඟ සසඳයි. ජාතිවාදය ගැන නොවැළැක්විය හැකිය. සාහිත්‍ය විචාරක රෝස්මරී ගෝරිං ස්කොට්ලන්තයේ ද හෙරල්ඩ් පුවත්පතේ ලී සහ ජේන් ඔස්ටෙන් අතර ඇති සම්බන්ධතා සටහන් කරමින් පොතේ කේන්ද්‍රීය තේමාව සඳහන් කරමින්, “කෙනෙකුගේ සදාචාරාත්මක විශ්වාසයන් සඳහා සටන් කිරීම වටී, නින්දා අපහාස කිරීමේ අවදානමක දී පවා” යන්න වාචිකව සාකච්ඡා කෙරේ....",රෝස්මරී ගෝරිං ලී සම්බන්ධ කළේ කාටද?,ජේන් ඔස්ටන්,7
8,8,"ජේන් ඔස්ටන්... ප්‍රධාන තදාසන්න ප්‍රදේශ අතර නිරිත දෙසින් මිඩ්ලෝතියන්, උතුරට හා බටහිරට ග්ලෙන් ඇලන්, බටහිරට ෂෝට් පොම්පය සහ ඊසාන දෙසින් යාන්ත්‍රිකය.",රිච්මන්ඩ් හි නිරිතදිග තදාසන්න ප්‍රදේශය කුමක්ද?,මිඩ්ලෝතියන්,8
9,9,"දෙවන ලෝක යුද්ධයෙන් පසු ජර්මනිය මිත්‍ර පාක්ෂිකයන් විසින් අත්පත් කර ගත් කාලය තුළ මිත්‍ර හමුදා ආන්ඩු විසින් අභ්‍යන්තර දේශසීමා නැවත සකස් කරන ලදී. ජනගහනයෙන් හෝ භූමියෙන් 30% කට වඩා වැඩි තනි රාජ්‍යයක් සමන්විත නොවේ; අතීතයේ දී ප්‍රුෂියා මෙන් ජර්මනිය තුළ කිසිදු රාජ්‍යයක් ආධිපත්‍යය දැරීම වැළැක්වීම මෙහි අරමුණ විය. මුලදී, යුද්ධයට පෙර පැවති රාජ්‍යයන් හතක් පමණක් ඉතිරිව තිබුණි: බේඩන් (අර්ධ වශයෙන්), බැවේරියා (ප්‍රමාණයෙන් අඩු), බ්‍රෙමන්, හැම්බර්ග්, හෙස්සි (විශාල කරන ලද), සැක්සෝනි සහ තුරින්ගියා. රයින්ලන්ඩ්-පලටිනේට්, නෝර්ත් රයින්-වෙස්ට්ෆේලියා සහ සැක්සොනි-අන්හාල්ට් වැනි හයිපනේටඩ් නම් සහිත රාජ්‍යයන් ඔවුන්ගේ පැවැත්මට බලතල ලබා දිය යුතු අතර ඒවා නිර්මාණය කරනු ලැබුවේ හිටපු ප්‍රෂියානු පළාත් සහ කුඩා ප්‍රාන්ත ඒකාබද්ධ කිරීමෙනි. ඕඩර්-නීස් රේඛාවට නැගෙනහිරින් පිහිටි හිටපු ජර්මානු භූමිය පෝලන්ත හෝ සෝවියට් පරිපාලනය යටතට පත් වූ නමුත් අවම වශයෙන් සංකේතාත්මකව 1960 ගණන්වලදී ස්වෛරීභාවය අත් නොහැරීමට උත්සාහ දරා ඇත. කෙසේ වෙතත්, එකල බටහිර ජර්මනියේ බල සීමාවෙන් පිටත පිහිටා ඇති බැවින් මෙම භූමි ප්‍රදේශවල නව රාජ්‍යයන් පිහිටුවීමට කිසිදු උත්සාහයක් ගෙන නොමැත. කෙසේ වෙතත්, එකල බටහිර ජර්මනියේ අධිකරණ බලයෙන් පිටත පිහිටා ඇති බැවින් මෙම භූමි ප්‍රදේශවල නව රාජ්‍යයන් පිහිටුවීමට කිසිදු උත්සාහයක් ගෙන නොමැත.",දෙවන ලෝක යුද්ධයෙන් පසු ජර්මනියේ මුලින් ප්‍රාන්ත කීයක් පැවතුණාද?,හත,9
