,Unnamed: 0,context_translated,question_translated,text_translated,original_index
0,0,සෑම වාරයක් අවසානයේම ඉහළම ප්‍රිමියර් ලීග් ලකුණු ලාභියාට ගෝල්ඩන් බූට් ප්‍රදානය කෙරේ. හිටපු බ්ලැක්බර්න් රෝවර්ස් සහ නිව්කාසල් යුනයිටඩ් ස්ට්‍රයිකර් ඇලන් ෂෙයරර් වැඩිම ප්‍රිමියර් ලීග් ගෝල 260 ක් සමඟින් වාර්තාවක් තබා ඇත. ක්‍රීඩකයින් විසිහතර දෙනෙකු ගෝල 100 සීමාව කරා ළඟා වී තිබේ. 1992-93 පළමු ප්‍රිමියර් ලීග් වාරයේ සිට විවිධ සමාජ 10 ක විවිධ ක්‍රීඩකයින් 14 දෙනෙකු වැඩිම ලකුණු ලබා ගත් ක්‍රීඩකයින්ගේ ශූරතාව දිනා හෝ බෙදාගෙන ඇත. තියරි හෙන්රි 2005-06 කන්නයේ දී ගෝල 27 ක් රැස් කරමින් සිය සිව්වන සමස්ත ලකුණු ශූරතාව දිනා ගත්තේය. ඇන්ඩ rew කෝල් සහ ඇලන් ෂෙයරර් එක් කන්නයකදී වැඩිම ගෝල සංඛ්‍යාවක් වාර්තා කළහ (34) - පිළිවෙලින් නිව්කාසල් සහ බ්ලැක්බර්න් වෙනුවෙන්. මැන්චෙස්ටර් යුනයිටඩ් හි රයන් ගිග්ස් ලීග් හි පළමු වාර 21 තුළ ලකුණු රැස් කරමින් අඛණ්ඩව වාර ගණනකදී ගෝල වාර්තා කළ වාර්තාව තබා ඇත. මැන්චෙස්ටර් යුනයිටඩ් හි රයන් ගිග්ස් ලීග් හි පළමු වාර 21 තුළ ලකුණු රැස් කරමින් අඛණ්ඩව වාර ගණනකදී ගෝල වාර්තා කළ වාර්තාව තබා ඇත.,ක්‍රීඩකයින් කීදෙනෙක් ඉලක්ක 100 ක් ලබා තිබේද?,ක්‍රීඩකයින් විසිහතර දෙනෙකු ගෝල 100 සීමාව කරා ළඟා වී තිබේ,2000
1,1,"2007 පෙබරවාරියේදී, BeiDou-1 පද්ධතියේ සිව්වන සහ අවසාන චන්ද්‍රිකාව වන BeiDou-1D (සමහර විට BeiDou-2A ලෙස හැඳින්වේ, උපස්ථ චන්ද්‍රිකාවක් ලෙස සේවය කරයි) අභ්‍යවකාශයට යවන ලදි. චන්ද්‍රිකාව පාලක පද්ධතියේ අක්‍රියතාවයකින් පෙළී ඇති නමුත් පසුව එය සම්පූර්ණයෙන්ම යථා තත්වයට පත් කරන ලදී. චන්ද්‍රිකාව පාලක පද්ධතියේ අක්‍රියතාවයකින් පෙළී ඇති නමුත් පසුව එය සම්පූර්ණයෙන්ම යථා තත්වයට පත් කරන ලදී.",සමහර විට BeiDou-1D චන්ද්‍රිකාව ලෙස හඳුන්වන්නේ කුමක්ද?,BeiDou-2A,2001
2,2,"බොස්ටන් ඉංග්‍රීසි නමින් හැඳින්වෙන රොටි නොවන නැගෙනහිර නව එංගලන්ත උච්චාරණයේ උපභාෂාවක් සහ මුහුදු ආහාර, ලුණු සහ කිරි නිෂ්පාදන කෙරෙහි වැඩි අවධානයක් යොමු කරන කලාපීය ආහාර පිසීමක් ඇතුළුව බොස්ටන් බොහෝ නව එංගලන්තය සමඟ සංස්කෘතික මූලයන් බෙදා ගනී. අයර්ලන්ත ඇමරිකානුවන් බොස්ටන්හි දේශපාලනයට සහ ආගමික ආයතනවලට විශාල බලපෑමක් කරයි. බොස්ටන් සතුව බොස්ටන් ස්ලැන්ග් ලෙස හඳුන්වන නව විද්‍යාත්මක එකතුවක් ඇත. බොස්ටන් සතුව බොස්ටන් ස්ලැන්ග් ලෙස හඳුන්වන නව විද්‍යාත්මක එකතුවක් ඇත.",බොස්ටන්හි දේශපාලනයට සහ ආගමට බලපෑම් කරන්නේ කවුද?,අයර්ලන්ත ඇමරිකානුවන්,2002
3,3,"ක්‍රිස්තියානි සම්ප්‍රදායන් අතර මරියාගේ කලාත්මක නිරූපණයන් සඳහා වන භක්තිය වෙනස් වේ. රෝමානු කතෝලික මේරියන් කලාවේ දීර් tradition සම්ප්‍රදායක් පවතින අතර මැඩෝනා සහ ළමා ප්‍රතිරූපය මෙන් කිසිදු රූපයක් කතෝලික කලාවට නොගැලපේ. ඕතඩොක්ස් පල්ලියේ වඩාත්ම ගෞරවයට පාත්‍ර වූ නිරූපකය ක්‍රිස්තුස් සමඟ වර්ජින් තියෙටොකොස්ගේ නිරූපකය බවට සැකයක් නැත. රෝමානු කතෝලික හා ඕතඩොක්ස් කිතුනුවන් දෙදෙනාම මරියාගේ රූප හා අයිකන වන්දනාමාන කරති. 787 දී දෙවන නයිසියා කවුන්සිලය ඔවුන්ගේ ගෞරවයට පාත්‍ර වූයේ රූපයට ගරු කරන අය එය නියෝජනය කරන පුද්ගලයාගේ යථාර්ථයට ගරු කරන බවත්, කොන්ස්ටන්ටිනෝපල්හි 842 සිනොඩ් එකම තහවුරු කිරීම. කෙසේ වෙතත්, ඕතඩොක්ස් ශ්‍රද්ධාව හා සාම්ප්‍රදායික පිළිවෙත් අනුව, ඇදහිලිවන්තයන් කලින් යාච් pray ා කළ යුතු අතර නමස්කාර කළ යුත්තේ පැතලි, ද්විමාන අයිකන මිස ත්‍රිමාන ප්‍රතිමා නොවේ. කෙසේ වෙතත්, ඕතඩොක්ස් ශ්‍රද්ධාව හා සාම්ප්‍රදායික පිළිවෙත් අනුව, ඇදහිලිවන්තයන් කලින් යාච් pray ා කළ යුතු අතර නමස්කාර කළ යුත්තේ පැතලි, ද්විමාන අයිකන මිස ත්‍රිමාන ප්‍රතිමා නොවේ.",කොන්ස්ටන්ටිනෝපල්හි සිනොඩ් මරියාගේ රූප වන්දනාමාන කිරීම සනාථ කළේ කුමන වර්ෂයේදීද?,842,2003
4,4,842... මෙය ඔහුගේ ශිෂ්‍ය ඩිමොක්‍රිටස් විසින් විශාල ලෙස පුළුල් කරන ලදී.,ග්‍රීක දාර්ශනිකයන් පිළිතුරු දීමට උත්සාහ කළ ප්‍රශ්නය කුමක්ද?,අප ජීවත්වන ඇණවුම් කළ විශ්වය ඇති වූයේ කෙසේද?,2004
5,5,"2007 සැප්තැම්බර් 12 වන දින ගුවාම්හිදී පොල් රයිනෝසරස් කුරුමිණියා (සීආර්බී), ඔරික්ටෙස් රයිනෝසරස් ආසාදනය වී ඇති බව අනාවරණය විය. ඇමරිකානු සැමෝවා හැර සීආර්බී එක්සත් ජනපදයේ සිදු වන බව නොදනී. 2007 සැප්තැම්බර් 13-25 දිනවල සිදු කරන ලද සීමිත සමීක්ෂණවලින් පෙන්නුම් කළේ ආසාදනය ආසන්න වශයෙන් අක්කර 900 (කි.මී. 3.6) ක භූමි ප්‍රදේශයක් වන ටුමොන් බේ සහ ෆයිෆායි වෙරළ තීරයට පමණක් සීමා වී ඇති බවයි. ගුවාම් කෘෂිකර්ම දෙපාර්තමේන්තුව (ජීඩීඒ) ඔක්තෝබර් 5 වන දින ටූමොන් ප්‍රදේශය තුළ ඇති සියළුම දේපල සඳහා නිරෝධායනය කර ඇති අතර පසුව නිරෝධායනය ඔක්තෝබර් 25 වන දින අක්කර 2500 ක් (කි.මී. 10) දක්වා පුළුල් කරන ලදී; CRB ආසාදනය ඇති සියලුම දන්නා ස්ථාන වලින් සෑම දිශාවකටම ආසන්න වශයෙන් සැතපුම් 0.5 (මීටර් 800) අරය. සීආර්බී දකුණු ආසියාවට ආවේණික වන අතර ආසියාව සහ බටහිර පැසිෆික් කලාපය පුරා බෙදා හරිනු ලැබේ. කීලිං) දූපත්, මොරිෂස් සහ නැවත හමුවීම. සීආර්බී දකුණු ආසියාවට ආවේණික වන අතර ආසියාව සහ බටහිර පැසිෆික් කලාපය පුරා බෙදා හරිනු ලැබේ. කීලිං) දූපත්, මොරිෂස් සහ නැවත හමුවීම.",2007 දී අනාවරණය කරගත් කෘමියා කුමක්ද?,පොල් රයිනෝසරස් කුරුමිණියා,2005
6,6,"1880 ගණන්වල මුල් භාගයේදී, කැනේහිරෝ තකාකි නිරීක්ෂණය කළේ ජපන් නැවියන් (ඔවුන්ගේ ආහාර සම්පූර්ණයෙන්ම සුදු සහල් වලින් සමන්විත වූ) බෙරිබෙරි (හෝ ආවේණික නියුරිටිස්, හෘදයාබාධ හා අංශභාගය ඇති කරන රෝගයක්) ඇති කළ නමුත් බ්‍රිතාන්‍ය නාවිකයින් සහ ජපාන නාවික නිලධාරීන් එසේ නොකළ බවයි. ජපන් නැවියන්ගේ ආහාර වේලට විවිධ වර්ගයේ එළවළු සහ මස් එකතු කිරීම රෝගය වළක්වා ගත්තේය. (ටකාකි සිතන පරිදි ප්‍රෝටීන් වැඩි වීම නිසා නොව, එය තයමින් මිලියනයකට කොටස් කිහිපයක් ආහාරයට හඳුන්වා දුන් නිසා, පසුව ප්‍රතිකාරයක් ලෙස වටහා ගන්නා ලදි). ජපන් නැවියන්ගේ ආහාර වේලට විවිධ වර්ගයේ එළවළු සහ මස් එකතු කිරීම රෝගය වළක්වා ගත්තේය. (ටකාකි සිතන පරිදි ප්‍රෝටීන් වැඩි වීම නිසා නොව, එය තයමින් මිලියනයකට කොටස් කිහිපයක් ආහාරයට හඳුන්වා දුන් නිසා, පසුව ප්‍රතිකාරයක් ලෙස වටහා ගන්නා ලදි).",ජපන් නාවිකයාගේ ආහාරයේ ප්‍රධාන අංගය කුමක්ද?,සුදු සහල්,2006
7,7,"සුදු සහල් කොනොට් පෙදෙසෙහි පිටත වළල්ලෙන් වෙනම මාර්ග 12 ක් ගමන් කරයි, ඉන් එකක් ජනපාත් ය.",නවදිල්ලියේ කොනොට් පෙදෙස එංගලන්තයේ කුමන ප්‍රදේශයට අනුරූපද?,රාජකීය ක්‍රෙසන්ට්,2007
8,8,රාජකීය ක්‍රෙසන්ට් රාජකීය ක්‍රෙසන්ට්,වේදනාව හඳුනාගෙන සම්ප්‍රේෂණය කරන සෛල හඳුන්වන්නේ කුමක්ද?,nociceptors,2008
9,9,"පළමුවෙන් කසාර්වරුන් හා පසුව රුස් සහ අනෙකුත් පඩිපෙළ කණ්ඩායම් සමඟ දේශපාලන බලපෑම් සහ වාණිජ සබඳතා පුළුල් කර ගැනීම සඳහා ඇති වූ නොසන්සුන්තාවයෙන් ප්‍රයෝජන ගැනීමට බයිසැන්තියානු අධිරාජ්‍යයට හැකි විය. රුසියාව විසින් කරන ලද වැටලීම් වලින් ආරක්ෂා වීමට සහ කොන්ස්ටන්ටිනෝපල් සපයන අත්‍යවශ්‍ය ධාන්‍ය නැව්ගත කිරීම් ආරක්ෂා කිරීම සඳහා බයිසන්ටයින්වරු 830 ගණන්වල ක්‍රිමියාවේ විධිමත් ලෙස ක්ලිමාටා ලෙස හැඳින්වෙන චර්සන් තේමාව ස්ථාපිත කළහ. චර්සන් කසාර්වරුන් සහ වෙනත් අය සමඟ පඩිපෙළේ ප්‍රධාන රාජ්‍යතාන්ත්‍රික සම්බන්ධතාවයක් ලෙස සේවය කළ අතර එය කළු මුහුදේ වාණිජ්‍යයේ කේන්ද්‍රස්ථානය බවට පත්විය. තුර්කි සංක්‍රමණිකයන් සහ රුස්ගේ ආක්‍රමණයන්ට එරෙහිව ඔවුන්ගේ වයඹ දිග මායිම ආරක්ෂා කර ගැනීමටත්, තවලම් වෙළඳ මාර්ග සහ ඩොන් සහ වොල්ගා ගංගා අතර ඇති වරාය පාලනය කිරීමටත් කසාර්වරුන්ට ඩොන් ගඟේ සර්කෙල්හි බලකොටුවක් තැනීමට බයිසැන්තීන් උදව් කළහ. තුර්කි සංක්‍රමණිකයන් සහ රුස්ගේ ආක්‍රමණයන්ට එරෙහිව ඔවුන්ගේ වයඹ දිග මායිම ආරක්ෂා කර ගැනීමටත්, තවලම් වෙළඳ මාර්ග සහ ඩොන් සහ වොල්ගා ගංගා අතර ඇති වරාය පාලනය කිරීමටත් කසාර්වරුන්ට ඩොන් ගඟේ සර්කෙල්හි බලකොටුවක් තැනීමට බයිසැන්තීන් උදව් කළහ.",කසාර්වරුන්ට බයිසැන්තීන් උදව් කළේ කුමක් ද?,සර්කෙල්හි බලකොටුවක් සාදන්න,2009
