,original_index,context_translated,question_translated,text_translated
0,3001,"ට්වයිට්ලයිට් කුමරිය සිදුවන්නේ ඔකරිනා ඔෆ් ටයිම් සහ මජෝරාගේ මාස්ක් වලින් සියවස් ගණනාවකට පසුව වන අතර එය ඇරඹෙන්නේ ඕර්ඩන් විලේජ් හි ගොවිපොළක් ලෙස වැඩ කරන ලින්ක් නම් තරුණයා සමඟ ය. දිනක් ගමට පහර දෙන්නේ බල්බ්ලින්ස් ය. ඔහු ගමේ ළමයින් ලින්ක් සමඟ ලුහුබැඳ ගොස් ට්විටයිට් තාප්පයක් හමුවීමට පෙර ලුහුබැඳ යයි. සෙවණැලි මෘගයෙක් ඔහුව තාප්පයෙන් ඔබ්බට ට්විටයිට් රාජධානියට ඇදගෙන යයි, එහිදී ඔහු වෘකයෙකු බවට පරිවර්තනය වී සිරගත කරනු ලැබේ. ලින්ක් අකමැති නමුත් ඔහු ඇයට කොන්දේසි විරහිතව කීකරු වුවහොත් ඔහුට උදව් කිරීමට එකඟ වන මිඩ්නා නම් වූ ට්වීලයිට් නම් ලින්ක් ඉක්මනින් ලින්ක් නිදහස් කරයි. ඇය ඔහුට සෙල්ඩා කුමරිය වෙත මඟ පෙන්වයි. සෙල්ඩා පැහැදිලි කරන්නේ සවස් යාමයේ රජු වන සැන්ට්, ආලෝක ස්පිරිට් හතරෙන් තුනෙන් ආලෝකය සොරකම් කර හයිරූල් යටත් කර ගත් බවයි. හයිරූල් බේරා ගැනීම සඳහා, ලින්ක් මුලින්ම ට්විටයිට් ආවරණය කළ ප්‍රදේශවලට ඇතුළු වීමෙන් ආලෝක ස්ප්‍රීතු යථා තත්වයට පත් කළ යුතු අතර වෘකයෙකු ලෙස ස්පිරිට්ස් නැතිවූ ආලෝකය නැවත ලබා ගත යුතුය. ඔහු මෙය කළ යුත්තේ ""ආලෝකයේ කඳුළු"" එකතු කිරීමෙන් ය; එක් ප්‍රදේශයක් සඳහා සියලු කඳුළු එක්රැස් වූ පසු, ඔහු එම ප්‍රදේශයේ සැහැල්ලු ආත්මය යථා තත්වයට පත් කරයි. ඔහු ඒවා යථා තත්වයට පත් කරන විට, සැහැල්ලු ස්පිරිට්ස් ඔහුගේ හයිලියානු ස්වරූපයට නැවත සම්බන්ධ වේ. සුෆි සාන්තුවරයන්ගේ සිද්ධස්ථානවල පැවැත්වෙන පොළවල් urs ලෙස හැඳින්වේ. ඔවුන් සාමාන්‍යයෙන් සාන්තුවරයාගේ මරණ සංවත්සරය සනිටුහන් කරයි. මෙම අවස්ථා වලදී බැතිමතුන් විශාල වශයෙන් එක්රැස් වී සාන්තුවරයාගේ මතකයට උපහාර දක්වයි. ආත්මය ප්‍රබෝධමත් කරන සංගීතය වාදනය කරන අතර බැතිමතුන් ප්‍රීතියෙන් නටති. මෙම අවස්ථාවන්හි සංගීතය අත්‍යවශ්‍යයෙන්ම ජන හා සිත් ඇදගන්නා සුළු ය. එය ගුප්ත පණිවිඩ හරහා ජන සංගීතයේ කොටසක් සාදයි. වැදගත්ම urs නම්: ලාහෝර් හි ඩේටා ගන්ජ් බුෂ්ගේ urs ර්ස්, ජැං හි හස්රත් සුල්තාන් බාහු, ජැං හි හස්රත් ෂා ජෙවානා, ලාහෝර් හි හස්රත් මියන් මිර්, පක්පට්ටන්හි බාබා ෆරීඩ් ගංජ් ෂකර්, හස්රත් මල්තාන්හි බහවුඩින් සක්රියා, ඩේරා ගාසි ඛාන් හි සාකි සර්වර් සුල්තාන්, ලාහෝර්හි ෂා හුසේන්ගේ උරස්, කසූර් හි හස්රත් බුලේ ෂා, රවල්පින්ඩි-ඉස්ලාමාබාද් හි හස්රත් ඉමාම් බාරි (බාරි ෂා ලතීෆ්) සහ ෂා ඉනාද් හි කුර් (ලාහෝර්හි බුලේ ෂාගේ මිනීමැරුම). වැදගත්ම urs නම්: ලාහෝර් හි ඩේටා ගන්ජ් බුෂ්ගේ urs ර්ස්, ජැං හි හස්රත් සුල්තාන් බාහු, ජැං හි හස්රත් ෂා ජෙවානා, ලාහෝර් හි හස්රත් මියන් මිර්, පක්පට්ටන්හි බාබා ෆරීඩ් ගංජ් ෂකර්, හස්රත් මල්තාන්හි බහවුඩින් සක්රියා, ඩේරා ගාසි ඛාන් හි සාකි සර්වර් සුල්තාන්, ලාහෝර්හි ෂා හුසේන්ගේ උරස්, කසූර් හි හස්රත් බුලේ ෂා, රවල්පින්ඩි-ඉස්ලාමාබාද් හි හස්රත් ඉමාම් බාරි (බාරි ෂා ලතීෆ්) සහ ෂා ඉනාද් හි කුර් (ලාහෝර්හි බුලේ ෂාගේ මිනීමැරුම).",Urs හි වාදනය කරන සංගීත ප්‍රභේදය කුමක්ද?,ජන
1,3002,"20 වන ශතවර්ෂයේ ආරම්භයෙන් පසු සෑම පවුලක් සඳහාම අක්කර හතරක නිවසක් සහ ගෙවත්තක් යන සංකල්පය සමඟ මෙල්බර්න් ඕස්ට්‍රේලියානු අගනගරවලට සමානය. එය බොහෝ විට දේශීයව ඕස්ට්‍රේලියානු සිහිනය ලෙස හැඳින්වේ. මෙය 1945 න් පසු පෞද්ගලික මෝටර් රථවල ජනප්‍රියතාවයට සමගාමීව මධ්‍යම හා පිටත තදාසන්න ප්‍රදේශවල අද පවතින ස්වයංක්‍රීය කේන්ද්‍රීය නාගරික ව්‍යුහයට හේතු විය. මෙල්බර්න් හි බොහෝ නගර ඒ අනුව අඩු dens නත්වයකින් යුක්ත වන අතර එහි අභ්‍යන්තර නගරවල ප්‍රධාන වශයෙන් මධ්‍යම dens නත්වය, සංක්‍රමණ-නැඹුරු නාගරික ස්වරූපයන් ඇත. නගර මධ්‍යස්ථානය, ඩොක්ලන්ඩ්ස්, ශාන්ත කිල්ඩා පාර සහ දකුණු ඉවුරේ ඉහළ dens නත්ව ආකෘති ඇත. නගර මධ්‍යස්ථානය, ඩොක්ලන්ඩ්ස්, ශාන්ත කිල්ඩා පාර සහ දකුණු ඉවුරේ ඉහළ dens නත්ව ආකෘති ඇත.",මෙල්බර්න් හි අගනගරයෙන් වැඩි ප්‍රමාණයක් අඩු dens නත්ව විහිදීමක් හෝ ඉහළ dens නත්වයක් සහිත විහිදුමක් ලෙස සංලක්ෂිත වේද?,අඩු ity නත්වය
2,3003,"1975 දී ඔහු මිය යන තුරුම සිවිල් යුද්ධයේ සිට ඒකාධිපතියෙකු ලෙස ජෙනරාල් ෆ්‍රැන්සිස්කෝ ෆ්‍රැන්කෝ පාලනය කළේය. ෆ්‍රැන්කෝගේ මධ්‍යගත පාලන තන්ත්‍රය විසින් අලුත උපන් බිළිඳුන් සඳහා ගැලීසියානු නම් භාවිතා කිරීම ඇතුළුව ගැලීසියානු භාෂාව නිල වශයෙන් භාවිතා කිරීම මැඩපවත්වන ලදී. තහනම් නැත. ප්‍රතිරෝධය දැක්වීමේ උත්සාහයන් අතර කුඩා වාමාංශික ගරිල්ලා කණ්ඩායම් වන හොසේ කැස්ත්‍රෝ වීගා (""එල් පිලෝටෝ"") සහ බෙනිග්නෝ ඇන්ඩ්‍රේඩ් (""ෆුසෙලාස්"") නායකත්වය දුන් අතර ඔවුන් දෙදෙනාම අවසානයේ අල්ලාගෙන uted ාතනය කරන ලදී. 1960 ගණන්වල මැනුවෙල් ෆ්‍රෙගා ඉරිබාර්න් වැනි ඇමතිවරු ධනවාදී ආර්ථික සංවර්ධනයට පහසුකම් සපයන අයුරින් පරිපාලනය නවීකරණය කිරීමට ඕපස් ඩී සමඟ අනුබද්ධ තාක්‍ෂණවේදීන්ට ඉඩ සලසන ප්‍රතිසංස්කරණ කිහිපයක් හඳුන්වා දුන්හ. කෙසේ වෙතත්, දශක ගණනාවක් තිස්සේ ගැලීසියාව බොහෝ දුරට ස්පා Spain ් of යේ සෙසු ප්‍රදේශවලට අමුද්‍රව්‍ය හා බලශක්ති සැපයුම්කරුවෙකුගේ භූමිකාවට පමණක් සීමා වූ අතර එය පාරිසරික විනාශයක් ඇති කළ අතර වෙනිසියුලාවට සහ යුරෝපයේ විවිධ ප්‍රදේශවලට සංක්‍රමණය වීමේ රැල්ලකට තුඩු දුන්නේය. විදුලියේ ඒකාධිකාරී සැපයුම්කරු වන ෆෙනෝසා ජල විදුලි වේලි ඉදි කළ අතර ගැලීසියානු ගංගා නිම්න බොහොමයක් ජලයෙන් යටවිය. විදුලියේ ඒකාධිකාරී සැපයුම්කරු වන ෆෙනෝසා ජල විදුලි වේලි ඉදි කළ අතර ගැලීසියානු ගංගා නිම්න බොහොමයක් ජලයෙන් යටවිය.",ඔහුගේ පාලනය අවසන් වූයේ කවදාද?,1975
3,3004,"පුරාණ වගු මගින් සූර්යයාගේ මධ්‍යන්‍ය දේශාංශ ලබා දී ඇත. ග්‍රෙගෝරියානු දින දර්ශනයේ ගෘහ නිර්මාණ ශිල්පී ක්‍රිස්ටෝපර් ක්ලැවියස් සඳහන් කළේ සූර්යයා වසන්ත සමය හරහා ගමන් කරන වේලාව හෝ මධ්‍යන්‍ය නිවර්තන වර්ෂයේ දිග පිළිබඳව වගු එකඟ නොවූ බවයි. ටයිචෝ බ්‍රාහ් ද විෂමතා දුටුවේය. 1560 දී වෙරෝනාහි පෙට්‍රස් පිටටස් විසින් ග්‍රෙගෝරියානු පිම්ම අවුරුදු පාලනය (වසර 400 කින් අධික වසර 97) ඉදිරිපත් කරන ලදී. එය ඇල්ෆොන්සින් වගු වල නිවර්තන වර්ෂයට හා කොපර්නිකස් (ඩි විප්ලවවාදී) මධ්‍යන්‍ය නිවර්තන වර්ෂයට අනුකූල බව ඔහු සඳහන් කළේය. සහ රයින්හෝල්ඩ් (ප්‍රුටනික් වගු). දින 365 ට වැඩි බැබිලෝනියානු ලිංගික සම්බන්ධතා වල මධ්‍යන්‍ය නිවර්තන අවුරුදු තුන (ඒවා මධ්‍යන්‍ය දේශාංශ වගු වලින් උපුටා ගන්නා ආකාරය) 14,33,9,57 (ඇල්ෆොන්සින්), 14,33,11,12 (කොපර්නිකස් ) සහ 14,33,9,24 (රයින්හෝල්ඩ්). සියලුම අගයන් ස්ථාන දෙකකට සමාන වේ (14:33) මෙය ග්‍රෙගෝරියානු වර්ෂයේ මධ්‍යන්‍ය දිග ද වේ. මේ අනුව පිටටස්ගේ විසඳුම තාරකා විද්‍යා rs යින්ට ප්‍රශංසා කරනු ඇත. මේ අනුව පිටටස්ගේ විසඳුම තාරකා විද්‍යා rs යින්ට ප්‍රශංසා කරනු ඇත.",වගු වල විෂමතාවන්ට කාගේ විසඳුම තාරකා විද්‍යා rs යින්ට එකඟ විය හැකිද?,පෙට්‍රස් පිටටස්
4,3005,"ව්‍යවස්ථාදායක බලය පවතින්නේ නයිටිජෙලාට ය. ඉරෝයිජ් කවුන්සිලය ලෙස හැඳින්වෙන පාර්ලිමේන්තුවේ ඉහළ සභාව ගෝත්‍රික ප්‍රධානීන් දොළොස් දෙනෙකුගෙන් සමන්විත උපදේශක මණ්ඩලයකි. විධායක ශාඛාව ජනාධිපති සහ ජනාධිපති කැබිනට් මණ්ඩලයෙන් සමන්විත වන අතර එය නිටිජෙලාගේ අනුමැතිය ඇතිව ජනාධිපතිවරයා විසින් පත් කරන ලද අමාත්‍යවරුන් දස දෙනෙකුගෙන් සමන්විත වේ. රට බෙදී ඇති මැතිවරණ දිස්ත්‍රික්ක විසිහතර ජනාවාස දූපත් හා පරමාණු වලට අනුරූප වේ. මාෂල් දූපත් වල දැනට දේශපාලන පක්ෂ හතරක් ඇත: Aelon̄ Kein Ad (AKA), එක්සත් ජනතා පක්ෂය (UPP), Kien Eo Am (KEA) සහ එක්සත් ප්‍රජාතන්ත්‍රවාදී පක්ෂය (UDP). රීතිය AKA සහ UDP විසින් බෙදා ගනී. පහත සඳහන් සෙනෙට් සභිකයන් ව්‍යවස්ථාදායක මණ්ඩලයේ සිටී: පහත සඳහන් සෙනෙට් සභිකයන් ව්‍යවස්ථාදායක මණ්ඩලයේ සිටී:",මාෂල් දූපත් පාර්ලිමේන්තුවේ ඉහළ මන්ත්‍රී මණ්ඩලයට අයත් වන්නේ කවුද?,ගෝත්‍රික ප්‍රධානීන් දොළොස් දෙනෙක්
5,3006,"2004 දී ජනාධිපති ධුරයට පත්වීමට කෙරී දැරූ කාලය තුළ කෙරී ඉරාක යුද්ධය සම්බන්ධයෙන් ජනාධිපති ජෝර්ජ් ඩබ්ලිව්. බුෂ් විවේචනය කළේය. සදාම් හුසේන් සමඟ ගනුදෙනු කිරීම සඳහා බලය යෙදවීමට ජනාධිපති බුෂ්ට බලය පැවරීමට කෙරී මුලින් ඡන්දය ප්‍රකාශ කර ඇති අතර, පසුව ඇති වූ යුද්ධය සඳහා ගෙවීම සඳහා ඩොලර් බිලියන 87 ක අතිරේක විසර්ජන පනත් කෙටුම්පතට එරෙහිව ඔහු ඡන්දය ප්‍රකාශ කළේය. 2004 මාර්තු 16 වන දින ඔහු කළ ප්‍රකාශය, “මම එයට විරුද්ධව ඡන්දය දීමට පෙර ඩොලර් බිලියන 87 ක් සඳහා ඡන්දය ප්‍රකාශ කළෙමි” යනුවෙන් බුෂ් උද් campaign ෝෂනයට සහාය දැක්වීය. 2004 මාර්තු 16 වන දින ඔහු කළ ප්‍රකාශය, “මම එයට විරුද්ධව ඡන්දය දීමට පෙර ඩොලර් බිලියන 87 ක් සඳහා ඡන්දය ප්‍රකාශ කළෙමි” යනුවෙන් බුෂ් උද් campaign ෝෂනයට සහාය දැක්වීය.",ආරම්භක ඉරාක අවසරයට සහාය දීමෙන් පසු කෙරී ඡන්දය දුන්නේ කුමක් ද?,ඩොලර් බිලියන 87 ක අතිරේක විසර්ජන පනත් කෙටුම්පතක් පසුව ඇති වූ යුද්ධය සඳහා ගෙවිය යුතුය
6,3007,"ඩොවගර් ඩෙන්ග් අධිරාජ්‍යයා මිය යන විට, ඩෙන් සහ ඇගේ පවුලේ අය ඔහුව නෙරපා හැරීමට සැලසුම් කර ඇති බවට නපුංසකයින් වන ලී රන් (李 李) සහ ජියැං ජිං (江 江) යන නපුංසකයින්ගේ චෝදනාවලින් ඇන් (ක්‍රි.ව. 106-125) අධිරාජ්‍යයා ඒත්තු ගැන්වීය. සේවයෙන් නෙරපා හරින ලද ඩෙන්ග්ගේ පවුලේ සාමාජිකයන් ඔවුන්ව පිටුවහල් කොට බොහෝ දෙනෙකුට සියදිවි නසා ගැනීමට බල කළහ. ඇන් ගේ මරණයෙන් පසු, ඔහුගේ බිරිඳ අධිරාජ්‍යයා වූ ඩොවගර් යාන් (ක්‍රි.ව. 126) තම පවුල තුළ බලය රඳවා ගැනීමේ උත්සාහයක් ලෙස බෙයිසියාං හි මාක්වෙස් නම් දරුවා සිංහාසනයට පත් කළේය. කෙසේ වෙතත්, මාලිගාවේ නපුංසක සන් චෙන් (ක්‍රි.ව. 132) හැන් අධිරාජ්‍යයා සිංහාසනාරූ to කිරීම සඳහා ඇගේ පාලන තන්ත්‍රය සාර්ථකව පෙරලා දැමීමට මහ මොළකරු විය (ක්‍රි.ව. 125–144). යාන් නිවාස අඩස්සියේ තබා ඇති අතර, ඇගේ relatives ාතීන් killed ාතනය කිරීම හෝ පිටුවහල් කිරීම සහ ඇගේ නපුංසක සගයන් were ාතනය කරන ලදී. අධිරාජ්‍යයා වන ලියාං නා (ක්‍රි.ව. 1509) හි රිජන්ට් ලියාං ජි (ක්‍රි.ව. 1509), ඩෙන්ග් මැන්ග් ලියාංට විරුද්ධ වීමෙන් පසුව කොන්සෝර්ට් ඩෙන් මැන්ග්නේ (පසුව අධිරාජ්‍යයා) (ක්‍රි.ව. 165) මරා දැමීය. ජි ඇයව පාලනය කිරීමට උත්සාහ කරයි. පසුව හුවාන් අධිරාජ්‍යයා සියදිවි නසා ගැනීමට බලකෙරුණු ලියැං ජි නෙරපා හැරීම සඳහා නපුංසකයින් යොදවා ගත්තේය. පසුව හුවාන් අධිරාජ්‍යයා සියදිවි නසා ගැනීමට බලකෙරුණු ලියැං ජි නෙරපා හැරීම සඳහා නපුංසකයින් යොදවා ගත්තේය.",සන් චෙං පාලන තන්ත්‍රය පෙරලා දැමීමෙන් පසු පිටුවහල් කරනු ලැබූ පවුල කුමක්ද?,යාන්
7,3008,"එබැවින් අනවශ්‍ය ප්‍රතික්‍රියා අවලංගු කිරීමට වඩා අමතර ගැටළුවක් වන්නේ සම්ප්‍රේෂණ රේඛාවේ ලාක්ෂණික සම්බාධනය සමඟ ඉතිරි ප්‍රතිරෝධක සම්බාධනය ගැලපීමයි. ප්‍රතිපත්තිමය වශයෙන් මෙය සැමවිටම ට්‍රාන්ස්ෆෝමරයකින් කළ හැකිය, කෙසේ වෙතත් ට්‍රාන්ස්ෆෝමරයක හැරවුම් අනුපාතය වෙනස් කළ නොහැක. සම්බාධනයෙහි සංරචක දෙකම නිවැරදි කිරීම සඳහා අවම වශයෙන් ගැලපුම් දෙකක් සහිත සාමාන්‍ය ගැලපුම් ජාලයක් කළ හැකිය. විවික්ත ප්‍රේරක සහ ධාරිත්‍රක භාවිතා කරමින් ගැලපෙන ජාලයන්ට එම සංරචක හා සම්බන්ධ අලාභ ඇති අතර සම්ප්‍රේෂණය සඳහා භාවිතා කරන විට බල සීමාවන් ඇත. මෙම දුෂ්කරතා මඟහරවා ගනිමින් වාණිජ ඇන්ටනා සාමාන්‍යයෙන් නිර්මාණය කර ඇත්තේ ස්ථාවර ගැලපුම් අංග හෝ පෝෂණ උපාය මාර්ග වලින් වන අතර ඕම් 50 හෝ 75 වැනි සම්මත කෝක්ස් වලට ආසන්න වශයෙන් ගැලපීමක් ලබා ගනී. ද්වි ධ්‍රැවය මත පදනම් වූ ඇන්ටනා (සිරස් ඇන්ටනා වෙනුවට) සම්ප්‍රේෂණ රේඛාව සහ ඇන්ටෙනා මූලද්‍රව්‍යය අතර බැලූනයක් ඇතුළත් විය යුතු අතර ඒවා එවැනි ගැලපෙන ඕනෑම ජාලයකට ඒකාබද්ධ කළ හැකිය. ද්වි ධ්‍රැවය මත පදනම් වූ ඇන්ටනා (සිරස් ඇන්ටනා වෙනුවට) සම්ප්‍රේෂණ රේඛාව සහ ඇන්ටෙනා මූලද්‍රව්‍යය අතර බැලූනයක් ඇතුළත් විය යුතු අතර ඒවා එවැනි ගැලපෙන ඕනෑම ජාලයකට ඒකාබද්ධ කළ හැකිය.",ට්‍රාන්ස්ෆෝමරයක් සම්බන්ධයෙන් වෙනස් කළ නොහැකි දේ කුමක්ද?,හැරවුම් අනුපාතය
8,3009,"හෘද රෝග, පිළිකා, තරබාරුකම හා දියවැඩියාව පොදුවේ “බටහිර” රෝග ලෙස හැඳින්වේ. චීනයේ ජාත්යන්තර අධ්යයනයකින් සමහර ප්රදේශවල පාහේ පිළිකා හෝ හෘද රෝග නොමැති බව සොයා ගත් අතර, වෙනත් ප්රදේශවල ඒවා ""සිය ගුණයකින් වැඩි වීමක්"" පිළිබිඹු කළේ ආහාර වලින් මාරුවීම හා සමපාත වන අතර එය සම්පූර්ණයෙන්ම ශාක පදනම් කරගත් දැඩි ලෙස සතුන් මත පදනම් වූ බව සොයා ගන්නා ලදී. , පිළිවෙලින්. ඊට වෙනස්ව, එක්සත් ජනපදය ඇතුළු සංවර්ධිත ලෝකය පුරා පිළිකා සහ හෘද රෝග වැනි ධනවත් රෝග බහුලව දක්නට ලැබේ. වයස සහ ව්‍යායාම සඳහා සකස් කර ඇති චීනයේ විශාල කලාපීය පොකුරු මෙම “බටහිර” රෝගවලින් පීඩා විඳින්නේ කලාතුරකිනි, ඔවුන්ගේ ආහාර වේල් එළවළු, පලතුරු සහ ධාන්ය වලින් පොහොසත් නිසාත්, කිරි හා මස් නිෂ්පාදන අඩු නිසාත් විය හැකිය. සමහර අධ්‍යයනවලින් පෙනී යන්නේ මේවා සමහර පිළිකා සඳහා හේතු විය හැකි බවයි. මෙම මතභේදාත්මක කාරණය සඳහා සහ විපක්ෂව තර්ක තිබේ. මෙම මතභේදාත්මක කාරණය සඳහා සහ විපක්ෂව තර්ක තිබේ.",මස් හැරුණු විට බටහිර ලෝකයේ ආහාර සමඟ සසඳන විට චීනයේ ආහාර වේලෙහි අඩුපාඩු මොනවාද?,කිරි
9,3010,"කිරි චිත්‍රපටයේ හ tra පටය සඳහා මැඩෝනා ""මාස්ටර්පීස්"" ගීතය සඳහා දායක වූ අතර එය හොඳම මුල් ගීතය සඳහා ගෝල්ඩන් ග්ලෝබ් සම්මානය දිනා ගත්තේය.",මැඩෝනා විවෘත කළ යෝග්‍යතා ජිම් වල නම කුමක්ද?,දෘ Candy කැන්ඩි යෝග්‍යතාවය
