,Unnamed: 0,context_translated,question_translated,text_translated,original_index
0,0,"ලන්දේසීන් අයත් වන්නේ බටහිර ජර්මානු උප සමූහයක් වන වෙස්ට් ලෝ ෆ්‍රැන්කෝනියන්, එහි සහෝදර භාෂාව වන ලිම්බර්ග් හෝ නැගෙනහිර ලෝ ෆ්‍රැන්කෝනියන් සමඟ යුගලනය කරමිනි. සමීපතම relative ාතියෙකු වන්නේ අන්‍යෝන්‍ය බුද්ධිමත් දියණිය වන අප්‍රිකානු භාෂාවයි. ලන්දේසි භාෂාවට සම්බන්ධ අනෙකුත් බටහිර ජර්මානු භාෂාවන් වන්නේ ජර්මානු, ඉංග්‍රීසි සහ ෆ්‍රීසියානු භාෂා වන අතර ප්‍රමිතිගත නොවන භාෂාවන් අඩු ජර්මානු සහ යීඩිෂ් වේ. ලන්දේසීන් කැපී පෙනෙන ලෙස ඉන්ග්වොයොනික් ලක්‍ෂණ (ඉංග්‍රීසි හා ෆ්‍රීසියානු භාෂාවෙන් නිරන්තරයෙන් සිදුවන අතර මහාද්වීපික බටහිර ජර්මානු තලයට වඩා 'බටහිර සිට නැගෙනහිරට' තීව්‍රතාව අඩු කරයි) බොහෝ දුරට ඉස්වායොනික් ලක්ෂණ ඇති අතර ඒවායින් සමහරක් ජර්මානු භාෂාවෙන් ද ඇතුළත් වේ. . ජර්මානු මෙන් නොව, ලන්දේසි (ලිම්බර්ග් හැරුණු විට) ඉහළ ජර්මානු ශබ්ද මාරුවේ 'දකුණට උතුරට' චලනය කිසිසේත් බලපා නැත. මෙම වෙනස්වීම් සමුච්චය කිරීමේ ප්‍රති ulted ලය කාලයාගේ ඇවෑමෙන් වෙනම, නමුත් අදාළ සම්මත භාෂාවලින් විවිධාකාර සමානකම් හා ඒවා අතර වෙනස්කම් ඇති විය. බටහිර ජර්මානු භාෂා අතර සංසන්දනයක් සඳහා, රූප විද්‍යාව, ව්‍යාකරණ සහ වචන මාලාව බලන්න. බටහිර ජර්මානු භාෂා අතර සංසන්දනයක් සඳහා, රූප විද්‍යාව, ව්‍යාකරණ සහ වචන මාලාව බලන්න.","ලන්දේසීන්ට වෙනස්ව, ඉහළ ජර්මානු ශබ්ද මාරුවට බලපෑම් කළ භාෂාව කුමක්ද?",ජර්මානු,1000
1,1,"ෆෙඩරල් ශ්‍රේෂ් Supreme ාධිකරණය තහවුරු කර ඇත්තේ ගිවිසුම් ව්‍යවස්ථාමය සමාලෝචනයට යටත් වන අතර සාමාන්‍ය ව්‍යවස්ථා සම්පාදනයට සමාන ධූරාවලි ආස්ථානයක් භුක්ති විඳින බවයි (පෘතුගීසි භාෂාවෙන් ලීස් ඕඩිනේරියාස් හෝ “සාමාන්‍ය නීති”). 2008 දී ශ්‍රේෂ් Supreme ාධිකරණය විසින් මෑතකදී දුන් තීන්දුවක් මගින් එම යෝජනා ක්‍රමය තරමක් වෙනස් කර ඇති අතර, මානව හිමිකම් විධිවිධාන අඩංගු ගිවිසුම් සාමාන්‍ය ව්‍යවස්ථාවට වඩා ඉහළ මට්ටමක පවතින නමුත් ඒවා ආණ්ඩුක්‍රම ව්‍යවස්ථාවට යටින් පවතින බව ප්‍රකාශ කරයි. මීට අමතරව, ආණ්ඩුක්‍රම ව්‍යවස්ථාවේ 45 වන සංශෝධනයට අනුව, විශේෂ ක්‍රියා පටිපාටියක් මගින් කොන්ග්‍රසය විසින් අනුමත කරනු ලබන මානව හිමිකම් ගිවිසුම් ව්‍යවස්ථා සංශෝධනයක් ලෙස එකම ධූරාවලි ආස්ථානයක් භුක්ති විඳිති. දේශීය නීති සම්පාදනයට අදාළව ගිවිසුම්වල ධූරාවලි ස්ථාවරය, කලින් සහ අනෙක් අතට අවලංගු කළ හැක්කේ (සහ කෙසේද) යන සාකච්ඡාවට අදාළ වේ. දේශීය නීති සම්පාදනයට අදාළව ගිවිසුම්වල ධූරාවලි ස්ථාවරය, කලින් සහ අනෙක් අතට අවලංගු කළ හැක්කේ (සහ කෙසේද) යන සාකච්ඡාවට අදාළ වේ.",මානව හිමිකම් විධිවිධාන අඩංගු ගිවිසුම් සාමාන්‍ය නීතිවලට වඩා ඉහළ මට්ටමක පවතින බවට බ්‍රසීල ශ්‍රේෂ් Supreme ාධිකරණය තීන්දු කළේ කුමන වර්ෂයේදීද?,2008,1001
2,2,"1962 ඔක්තෝම්බර් මාසයේ කියුබානු මිසයිල අර්බුදයේදී එක්සත් ජනපද ජනාධිපති ජෝන් එෆ් කෙනඩි සහ නිකිටා කෘෂ්චෙව් අතර මැදිහත් වීමට ජෝන් XXIII පාප්තුමා ඉදිරිපත් විය. සාමය සඳහා වූ ගැඹුරු කැපවීම පිළිබඳව දෙදෙනාම පාප්තුමාගේ පැසසුමට ලක්විය. කෘෂ්චෙව් පසුව නෝමන් ous ාති සහෝදරයා හරහා පණිවුඩයක් යවා ඇති අතර එම ලිපියෙන් පාප්තුමාගේ අසනීප සෞඛ්‍යයට සුබ පැතුම් එක් කළේය. ජෝන් XXIII පුද්ගලිකව ටයිප් කර ඔහුට පණිවිඩයක් යවා, ඔහුගේ ලිපියට ස්තූතිවන්ත විය. මේ අතර, ous ාති සහෝදරයන් නිව්යෝර්ක් නගරයට ගොස් ජෝන් ටයිම් සඟරාවේ 'වසරේ මිනිසා' බවට පත්වීමට වගබලා ගත්තේය. ජෝන් XXIII මාතෘකාව ලැබූ පළමු පාප්තුමා බවට පත්වූ අතර 1994 දී II වන ජෝන් පෝල් සහ 2013 දී ෆ්‍රැන්සිස්. ජෝන් XXIII මාතෘකාව ලැබූ පළමු පාප්තුමා බවට පත්වූ අතර 1994 දී II වන ජෝන් පෝල් සහ 2013 දී ෆ්‍රැන්සිස්.",කියුබානු මිසයිල අර්බුදය කවදාද?,1962 ඔක්තෝබර්,1002
3,3,"කාර්යක්‍ෂමතාව, විකල්ප විසඳුම්, හැකි කෙටිමං හෝ කේතයේ ඇති විය හැකි දෝෂයන් නොසලකා පරිගණකයක් ක්‍රමලේඛනය කර ඇති ආකාරයටම ගැටලු විසඳනු ඇත. ඉගෙන ගන්නා හා අනුවර්තනය වන පරිගණක වැඩසටහන් කෘතිම බුද්ධිය සහ යන්ත්‍ර ඉගෙනීමේ නැගී එන ක්ෂේත්‍රයේ කොටසකි. ඉගෙන ගන්නා හා අනුවර්තනය වන පරිගණක වැඩසටහන් කෘතිම බුද්ධිය සහ යන්ත්‍ර ඉගෙනීමේ නැගී එන ක්ෂේත්‍රයේ කොටසකි.",ඉගෙන ගත හැකි පරිගණක වැඩසටහන් කුමන ක්ෂේත්‍රයෙන් අධ්‍යයනය කරන්නේද?,කෘතිම බුද්ධිය,1003
4,4,"ලෝන්ග්මන් ෂාන් ෆෝල්ට් පද්ධතිය ටිබෙට් සානුවේ නැගෙනහිර මායිමේ පිහිටා ඇති අතර එහි දෝෂ කිහිපයක් අඩංගු වේ. මෙම භූමිකම්පාව ලෝන්ග්මන් ෂාන් ෆෝල්ට් සිස්ටම් හි අවම වශයෙන් අසම්පූර්ණ ව්‍යුහයන් දෙකක්වත් බිඳ වැටී ඇත, එනම් බීචුවාන් දෝෂය සහ ගුවාන්සියානු-ඇන්ක්සියානු දෝෂය. කේන්ද්‍රීය ප්‍රදේශය තුළ, බීචුවාන් දෝෂයේ සාමාන්‍ය ස්ලිප් එක මීටර් 3.5 (අඩි 11) සිරස්, මීටර් 3.5 (අඩි 11) තිරස්-සමාන්තරව දෝෂයට සමාන්තරව සහ මීටර් 4.8 (අඩි 16) තිරස්-දෝෂයට දෝෂ සහිත විය. කේන්ද්‍රයේ සිට කිලෝමීටර් 30 ක් (සැතපුම් 19 ක්) ඊසාන දෙසින් පිහිටි බීචුවාන් දෝෂයේ මතුපිට ලිස්සා යාම මුළුමනින්ම පාහේ ඩෙක්ස්ට්‍රල් වැඩ වර්ජනයකි - මීටර් 3 ක් (අඩි 9.8) දක්වා ලිස්සා ගිය අතර ගුවාන්සියානු-ඇන්ක්සියානු දෝෂයේ සාමාන්‍ය ස්ලිප් 2 ක් පමණ විය. මීටර (අඩි 6 යි අඟල්) සිරස් සහ මීටර් 2.3 (අඩි 7 අඟල්) තිරස්. කේන්ද්‍රයේ සිට කිලෝමීටර් 30 ක් (සැතපුම් 19 ක්) ඊසාන දෙසින් පිහිටි බීචුවාන් දෝෂයේ මතුපිට ලිස්සා යාම මුළුමනින්ම පාහේ ඩෙක්ස්ට්‍රල් වැඩ වර්ජනයකි - මීටර් 3 ක් (අඩි 9.8) දක්වා ලිස්සා ගිය අතර ගුවාන්සියානු-ඇන්ක්සියානු දෝෂයේ සාමාන්‍ය ස්ලිප් 2 ක් පමණ විය. මීටර (අඩි 6 යි අඟල්) සිරස් සහ මීටර් 2.3 (අඩි 7 අඟල්) තිරස්.",ගුවාන්සියානු-ඇන්ක්සියානු දෝෂයේ තිරස් සාමාන්‍ය ස්ලිප් එක කුමක්ද?,මීටර් 2.3 කි,1004
5,5,"ඇඳුම් මුලින්ම සංවර්ධනය කළේ කවදාද යන්න තීරණය කිරීමට පහසු ක්‍රමයක් නොමැත, නමුත් උකුණන් අධ්‍යයනය කිරීමෙන් සමහර තොරතුරු අනුමාන කෙරේ. බොඩි ලෝස් විශේෂයෙන් ජීවත් වන්නේ ඇඳුම්වල වන අතර මීට වසර 107,000 කට පමණ පෙර හිස උකුණන්ගෙන් g ත් වේ. තවත් න්‍යායක් නම්, ඇඳුම් ඇඳගෙන ඇති ප්‍රයිමේට් විශේෂ කිහිපයකින් දිවි ගලවා ගත් එකම පුද්ගලයා නූතන මිනිසුන් වන අතර මීට වසර 650 දහසකට පෙර තරම් ඇඳුම් භාවිතා කර ඇති බවයි. වෙනත් ලොස් මත පදනම් වූ ඇස්තමේන්තු වලට අනුව ඇඳුම් හඳුන්වාදීම බීපී 42,000–72,000 ක් පමණ වේ. වෙනත් ලොස් මත පදනම් වූ ඇස්තමේන්තු වලට අනුව ඇඳුම් හඳුන්වාදීම බීපී 42,000–72,000 ක් පමණ වේ.",මීට වසර දහස් ගණනකට පෙර ඇඳුම් ඇඳගෙන සිටිය හැකිද?,650 කි,1005
6,6,"ද්විත්ව බිල්පත් මඟ පෙන්වීමේ පළමු දශකය අවසන් වන විට, පැටවුන් 1929 දී එන්එල් සම්මේලනය දිනා ගත් අතර පසුව සෑම වසර තුනකට වරක්ම සතයක් දිනා ගැනීමේ අසාමාන්‍ය ජයග්‍රහණය අත්කර ගත්හ. 1929 ධජය ලීග් ශූරතා සමඟ 1932, 1935 දී අනුගමනය කළහ. අවාසනාවකට මෙන්, ඔවුන්ගේ සාර්ථකත්වය ෆෝල් ක්ලැසික් දක්වා විහිදුණේ නැත, මන්ද ඔවුන් සෑම අවස්ථාවකදීම ඔවුන්ගේ AL ප්‍රතිවාදීන්ට වැටුණි. යාන්කීස් වලට එරෙහි '32 ශ්‍රේණියේ ගේම් 3 හි රිග්ලි ෆීල්ඩ් හිදී බේබ් රූත්ගේ ""වෙඩි තැබීම"" ඇතුළත් විය. 1930 දී, ක්‍රීඩාවේ ඉහළම ලකුණු ලබා ගත් ක්‍රීඩකයෙකු වන හැක් විල්සන්, එම්එල්බී ඉතිහාසයේ වඩාත්ම ආකර්ෂණීය asons තු වලින් එකක් වූ අතර, එය නිවාස ලකුණු 56 ක් ලබා ගනිමින්, වර්තමාන ලකුණු 19 ක් වාර්තා කර ඇත. එම 1930 සමාජය. පුරසාරම් දෙඩූ හෝල් ඔෆ් ෆේමර්ස් (විල්සන්, ගැබි හාර්ට්නෙට්, රොජර්ස් හෝන්ස්බි, ජෝර්ජ් ""හයි පොකට්ස්"" කෙලී, කිකි කුයිලර් සහ කළමනාකරු ජෝ මැකාති) වත්මන් කණ්ඩායමේ පිතිකරණ සාමාන්‍ය වාර්තාව 309 ක් බවට පත් කළහ. 1935 දී පැටවුන් සිත් ඇදගන්නාසුළු විලාසිතාවන්ට හිමිකම් කියූ අතර සැප්තැම්බර් මාසයේ දී තරඟ 21 ක් වාර්තා කරමින් ජයග්‍රහණය කළහ. '38 සමාජය විසින් ඩිස්සි ඩීන් කණ්ඩායමේ තණතීරුවෙහි කාර්ය මණ්ඩලයට නායකත්වය දුන් අතර පිට්ස්බර්ග් මුහුදු කොල්ලකරුවන්ට ඉහළින් රිග්ලි ෆීල්ඩ් හි පැවති තීරණාත්මක අග භාගයේ තරඟයක් ජයගත් G තිහාසික මොහොතක් ලබා දුන්නේය. ""හෝමර් ඉන් ද ග්ලෝමින්"" ලෙස. '38 සමාජය විසින් ඩිස්සි ඩීන් කණ්ඩායමේ තණතීරුවෙහි කාර්ය මණ්ඩලයට නායකත්වය දුන් අතර පිට්ස්බර්ග් මුහුදු කොල්ලකරුවන්ට ඉහළින් රිග්ලි ෆීල්ඩ් හි පැවති තීරණාත්මක අග භාගයේ තරඟයක් ජයගත් G තිහාසික මොහොතක් ලබා දුන්නේය. ""හෝමර් ඉන් ද ග්ලෝමින්"" ලෙස.",1935 දී පැටවුන් එකවර කීයක් ජයග්‍රහණය කර ඇත්ද?,21,1006
7,7,"1899 දී ප්‍රාන්ත ව්‍යවස්ථාදායකය විසින් නව ව්‍යවස්ථාවක් සම්මත කරන ලද අතර, ඡන්ද බදු ලියාපදිංචි කිරීම සහ ඡන්දදායකයින් ලියාපදිංචි කිරීම සඳහා සාක්ෂරතා පරීක්ෂණ අවශ්‍යතාවයන් ඇති අතර එමඟින් ප්‍රාන්තයේ බොහෝ කළු ඇමරිකානුවන් නිදහස් කරන ලදී. ඡන්දය දීමෙන් බැහැරවීම පුළුල් බලපෑමක් ඇති කළේය: එයින් අදහස් කළේ කළු ඇමරිකානුවන්ට ජූරි සභාවල හෝ කිසිදු ප්‍රාදේශීය කාර්යාලයක සේවය කළ නොහැකි බවයි. සුදු ආධිපත්‍යයේ දශකයකට පසු, උතුරු කැරොලිනාවට කවදා හෝ මධ්‍යම පාන්තික කළු ඇමරිකානුවන් සිටි බව බොහෝ දෙනෙකුට අමතක විය. 1964 ෆෙඩරල් සිවිල් අයිතිවාසිකම් පනත සහ 1965 ඡන්ද අයිතිය පිළිබඳ පනත සම්මත කර ඔවුන්ගේ ව්‍යවස්ථාමය අයිතීන් බලාත්මක කරන තෙක් කළු පුරවැසියන්ට ප්‍රාන්තයේ දේශපාලන හ voice ක් නොතිබුණි. උතුරු අප්‍රිකානු කැරොලිනාවෙන් එක්සත් ජනපද නියෝජිතයෙකු ලෙස තවත් අප්‍රිකානු ඇමරිකානුවෙකු තේරී පත් වූයේ 1992 වන තෙක් නොවේ. උතුරු අප්‍රිකානු කැරොලිනාවෙන් එක්සත් ජනපද නියෝජිතයෙකු ලෙස තවත් අප්‍රිකානු ඇමරිකානුවෙකු තේරී පත් වූයේ 1992 වන තෙක් නොවේ.","කුමක් කිරීමෙන් බැහැරව සිටීම, කළු ජාතිකයින්ට යුෂවල හෝ රජයේ කාර්යාලයේ සේවය කිරීමට නොහැකි වන පරිදි එය සිදු කළේද?",ඡන්දය,1007
8,8,"20 වන ශතවර්ෂයේ මුල් භාගය රුසියාවේ සහ සෝවියට් සමූහාණ්ඩුවේ යුද්ධ, සාගත හා වෙනත් ව්‍යසනවල අනුප්‍රාප්තියෙන් සලකුණු විය. දෙවන ලෝක යුද්ධය අවසන් වන විට 1945 දී රුසියානු ජනගහනය මිලියන 90 ක් පමණ අඩු බව ස්ටීවන් ජේ ලී ගණන් බලා තිබේ. දෙවන ලෝක යුද්ධය අවසන් වන විට 1945 දී රුසියානු ජනගහනය මිලියන 90 ක් පමණ අඩු බව ස්ටීවන් ජේ ලී ගණන් බලා තිබේ.",විසිවන සියවසේ මුල් භාගය සලකුණු කළේ රුසියාවේ සහ සෝවියට් සංගමයේ කුමක් ද?,"යුද්ධ, සාගත සහ වෙනත් ව්‍යසනවල අනුප්‍රාප්තිය",1008
9,9,"පළමු අබිං යුද්ධයෙන් චීන හමුදාවේ යල් පැන ගිය තත්වය අනාවරණය විය. බ්‍රිතාන්‍ය රාජකීය නාවික හමුදාවේ නවීන උපක්‍රම සහ ගිනි බලය මගින් ක්විං නාවික හමුදාව මුළුමනින්ම ලී රුවල් කුට්ටි වලින් සමන්විත විය. දියුණු කස්තුරි සහ කාලතුවක්කු භාවිතා කරමින් බ්‍රිතාන්‍ය සොල්දාදුවන්, බිම් සටන් වලදී ක්විං හමුදාවන් අභිබවා යමින් අභිබවා ගියහ. 1842 දී ක්විං යටත් වීම චීනයට තීරණාත්මක හා නින්දිත පහරක් සනිටුහන් කළේය. අසමාන ගිවිසුම් වලින් පළමුවැන්න වන නැන්ජින් ගිවිසුම, යුද වන්දි ඉල්ලා ඇති අතර, චීනයට කැන්ටන්, ආමෝයි, ෆුචෝව්, නින්ග්පෝ සහ ෂැංහයි වරායන් පහ බටහිර වෙළඳ හා මිෂනාරිවරුන්ට විවෘත කිරීමටත් හොංකොං දූපත බ්‍රිතාන්‍යයට පවරා දීමටත් බල කෙරුනි. එය ක්විං ආන්ඩුවේ බොහෝ අඩුපාඩුකම් හෙළි කළ අතර දැනටමත් දැවැන්ත ජනප්‍රිය නොවූ තන්ත්‍රයට එරෙහිව පුළුල් කැරලි ඇති කළේය. එය ක්විං ආන්ඩුවේ බොහෝ අඩුපාඩුකම් හෙළි කළ අතර දැනටමත් දැවැන්ත ජනප්‍රිය නොවූ තන්ත්‍රයට එරෙහිව පුළුල් කැරලි ඇති කළේය.",ගිවිසුම් බලය විවෘත කළ වරාය 5 කුමක්ද?,"කැන්ටන්, ඇමෝයි, ෆුචෝව්, නිංපෝ සහ ෂැංහයි",1009
