,Unnamed: 0,context_translated,question_translated,text_translated,original_index
0,0," ඉංග්‍රීසි භාෂාවෙන් ප්‍රාග්ධනීකරණය, සන්දර්භයෙන් ස්වාධීනව සාමාන්‍ය විකලාංග රීති අනුව (උදා: මාතෘකාව එදිරිව ශීර්ෂය එදිරිව පෙළ) විධිමත් ලිවීම සඳහා විශ්වීය වශයෙන් ප්‍රමිතිකරණය කර ඇත. (පණිවිඩ යැවීම, ක්ෂණික පණිවුඩ යැවීම හෝ අතින් ලියන ලද ඇලෙන සුළු සටහනක් වැනි අවිධිමත් සන්නිවේදනයන් කරදර නොවිය හැක, නමුත් එයට හේතුව එහි පරිශීලකයින් සාමාන්‍යයෙන් එය විධිමත් යැයි අපේක්ෂා නොකරන බැවිනි.) ඉංග්‍රීසියෙන්, ලොකු අකුරු වාක්‍යයක පළමු අකුර ලෙස භාවිතා වේ , නිසි නාම පදයක් හෝ නිසි නාම පදයක්. විවිධ අරුත් සහිත වචන යුගල කිහිපයක් ඇත, ඒවායේ එකම වෙනස වන්නේ පළමු අකුර ප්‍රාග්ධනීකරණය කිරීමයි. පළමු දින සර්වනාමය ""මම"" සහ ""ඕ"" යන ඇඟිලි ගැසීම් මෙන් සතියේ දිනවල නම් සහ මාසවල නම් ද ප්‍රාග්ධනීකරණය කර ඇත (නවීන භාවිතයේ දී දෙවැන්න අසාමාන්‍ය වුවත්, ""ඔහ්"" වඩාත් කැමති වේ ). වෙනත් වචන සාමාන්‍යයෙන් කුඩා අකුරකින් ආරම්භ වේ. කෙසේ වෙතත්, වැඩි අවධානයක් යොමු කිරීම සඳහා තවදුරටත් ප්‍රාග්ධනීකරණය භාවිතා කළ හැකි අවස්ථා තිබේ, උදාහරණයක් ලෙස ශීර්ෂ පා and සහ මාතෘකා (පහත බලන්න). සමහර සාම්ප්‍රදායික කාව්‍යමය ස්වරූපයෙන්, ඕනෑම ව්‍යාකරණ ලක්ෂණයකින් ස්වාධීනව පද මාලාවක ආරම්භය දැක්වීමට ප්‍රාග්ධනීකරණය සාම්ප්‍රදායිකව සලකුණු කරුවෙකු ලෙස භාවිතා කර ඇත. සමහර සාම්ප්‍රදායික කාව්‍යමය ආකාරවල, ප්‍රාග්ධනීකරණය සාම්ප්‍රදායිකව සලකුණු ලෙස භාවිතා කර ඇත. ඕනෑම ව්‍යාකරණ ලක්ෂණයකින් ස්වාධීන පද පදයක්.",පළමු පුද්ගල සර්වනාමයේ පළමු අකුර ඉංග්‍රීසි භාෂාවෙන් මැද වාක්‍ය හසුරුවන්නේ කෙසේද?,ප්‍රාග්ධනීකරණය,5000
1,1,"කොම්කාස්ට් විවිධ හේතු නිසා විවේචනය කර ඇත. සමාගමේ පාරිභෝගික තෘප්තිය බොහෝ විට කේබල් කර්මාන්තයේ පහළම ස්ථානයට පත්ව ඇත. කොම්කාස්ට් අතීතයේ දී ශුද්ධ මධ්‍යස්ථ භාවිතයන් උල්ලං has නය කර ඇත; ශුද්ධ මධ්‍යස්ථභාවය පිළිබඳ පටු අර්ථ දැක්වීමක් සඳහා කොම්කාස්ට්ගේ කැපවීම නොතකා, විචාරකයින් විසින් කොම්කාස්ට් හි පුද්ගලික ජාල සේවා සහ අනෙක් අන්තර්ජාලය අතර වෙනස වළක්වන අර්ථ දැක්වීමක් ඉදිරිපත් කරයි. විචාරකයින් පෙන්වා දෙන්නේ කොම්කාස්ට් හි සේවා කලාපයේ අතිමහත් බහුතරයක තරඟකාරිත්වයේ lack නතාවක්; කේබල් සපයන්නන් අතර සීමිත තරඟයක් පවතී. විශාල අයිඑස්පී ලෙස කොම්කාස්ට්ගේ සාකච්ඡා බලය සැලකිල්ලට ගෙන, සමහරු සැක කරන්නේ කොම්කාස්ට් විසින් අවසාන පරිශීලක සම්බන්ධතා වේගයට අසාධාරණ ලෙස බලපෑම් කිරීම සඳහා ගෙවන ලද සමපදස්ථ ගිවිසුම් උත්තේජනය කළ හැකි බවයි. අන්තර්ගත නිෂ්පාදනය (එන්බීසී යුනිවර්සල් හි) සහ අන්තර්ගත බෙදා හැරීම (අයිඑස්පී ලෙස) යන දෙඅංශයේම එහි හිමිකාරිත්වය විශ්වාසභංග උත්සුකයන් මතු කර තිබේ. මෙම ගැටළු, අනෙක් ඒවාට අමතරව, කොම්කාස්ට් 2014 සහ 2010 දී පාරිභෝගිකයා විසින් ""ඇමරිකාවේ නරකම සමාගම"" ලෙස නම් කිරීමට හේතු විය. මෙම ගැටළු, අනෙක් ඒවාට අමතරව, කොම්කාස්ට් 2014 සහ 2010 දී පාරිභෝගිකයා විසින් ""ඇමරිකාවේ නරකම සමාගම"" ලෙස නම් කිරීමට හේතු විය.",කොම්කාස්ට එරෙහිව පාරිභෝගිකයින් විසින් නගන විශාලතම විවේචනය කුමක්ද?,පාරිභෝගික තෘප්තිය,5001
2,2,පාරිභෝගික තෘප්තිය 316–17),භෞතික මානව විද්‍යාත්මක ග්‍රන්ථ තවමත් ජීව විද්‍යාත්මක වර්ග පවතින බවට තර්ක කළේ කවදාද?,1970 දශකය,5002
3,3,"සහකරු ආකර්ෂණය කර ගැනීම, විභව සහකරුවන් ඇගයීම, බැඳුම්කර සෑදීම, බලප්‍රදේශවල හිමිකම් පෑම සහ නඩත්තු කිරීම, වෙනත් පුද්ගලයින් හඳුනා ගැනීම (දෙමව්පියන් යටත් විජිතවල පැටවුන් සොයන විට හෝ කලත්‍රයන් නැවත එක්වන විට වැනි විවිධ අරමුණු සඳහා ඇමතුම් භාවිතා වේ. සමහර විට තර්ජනයේ ස්වභාවය පිළිබඳ නිශ්චිත තොරතුරු සහිතව විභව විලෝපිකයන්ගේ වෙනත් පක්ෂීන්ට අනතුරු ඇඟවීම. සමහර පක්ෂීන් ශ්‍රවණ සන්නිවේදනය සඳහා යාන්ත්‍රික ශබ්ද ද භාවිතා කරයි. නවසීලන්තයේ කොයිනොකොරිෆා ස්නයිපර් ඔවුන්ගේ පිහාටු හරහා වාතය ධාවනය කරයි, ලී කුට්ටි භෞමිකව බෙර වාදනය කරයි, සහ පාම් කුකුළා බෙර වාදනය කිරීමට මෙවලම් භාවිතා කරයි. නවසීලන්තයේ කොයිනොකොරිෆා ස්නයිපර් ඔවුන්ගේ පිහාටු හරහා වාතය ධාවනය කරයි, ලී කුට්ටි භෞමිකව බෙර වාදනය කරයි, සහ පාම් කුකුළා බෙර වාදනය කිරීමට මෙවලම් භාවිතා කරයි.",විභව සහකරු හෝ සහකාරිය ආකර්ෂණය කර ගැනීම සඳහා කුරුල්ලන් භාවිතා කරන්නේ කුමක්ද?,විභව සහකරු හෝ සහකාරිය ආකර්ෂණය කර ගැනීම සඳහා කුරුල්ලන් භාවිතා කරන්නේ කුමක්ද?...,5003
4,4,ඇමතුම් ඇමතුම්,Vuictorias ඉවත් කිරීම ඉල්ලා සිටි ජනරජ රැලිය පැවැත්වූයේ කොහේද?,ට්‍රැෆල්ගර් චතුරශ්‍රය,5004
5,5,ට්‍රැෆල්ගර් චතුරශ්‍රය ට්‍රැෆල්ගර් චතුරශ්‍රය,1031 වන තෙක් දකුණු අයිබීරියාව පාලනය කළ ඉස්ලාමීය රාජ්‍යය කුමක්ද?,1031 වන තෙක් දකුණු අයිබීරියාව පාලනය කළ ඉස්ලාමීය රාජ්‍යය කුමක්ද?...,5005
6,6,කෝර්ඩෝබා හි කාලිෆේට් නගරය මහ නගර සභා 16 කින් සමන්විත වේ (මීට පෙර නගර ලෙස හැඳින්වේ).,මෙක්සිකෝ නගරය තුළ ඇති මහ නගර සභා ලෙස ඔවුන් හැඳින්වූයේ කුමක්ද?,නගර,5006
7,7,"සුමේරියානුවන් ප්‍රථම වරට බියර් පානය කරන සමිතියකි. ධාන්ය වර්ග බහුල වූ අතර ඒවායේ මුල් බීරවල ප්රධාන අමුද්රව්යය විය. ඔවුන් තිරිඟු, බාර්ලි සහ මිශ්‍ර ධාන්ය බියර් වලින් සමන්විත බීර වර්ග කිහිපයක් සාදන ලදී. සුමේරියානුවන්ට බියර් සෑදීම ඉතා වැදගත් විය. ගිල්ගමේෂ්ගේ ජනයාගේ ආහාර සහ බියර් සඳහා එන්කිදු හඳුන්වා දුන් විට එය ගිල්ගමේෂ් එපික් හි සඳහන් විය: “දේශයේ සිරිතක් ලෙස බියර් පානය කරන්න ... ඔහු බියර් හත බීම පානය කළේය! සතුට!"" ඔහු පුළුල් වී ප්‍රීතියෙන් ගායනා කළේය.",මුල් සුමේරියානු බීර වල ප්‍රධාන සං ient ටකය කුමක්ද?,ධාන්ය වර්ග,5007
8,8,ධාන්ය වර්ග ධාන්ය වර්ග...,අධ්‍යක්ෂණය සඳහා යුනිවර්සල් ස්පීල්බර්ගෝට අත්සන් කළ රූපවාහිනී චිත්‍රපට කීයක් තිබේද?,හතර,5008
9,9,හතර... රොකිංහැම් බර්ක්ව ෆ්‍රීමසන් ලෙස හඳුන්වා දුන්නේය.,විලියම් ජෙරාඩ් හැමිල්ටන්ගේ අන්වර්ථ නාමය කුමක්ද?,තනි කථනය හැමිල්ටන්,5009
