,original_index,context_translated,question_translated,text_translated
0,1953,"ආර්ථික විද්‍යා Paul පෝල් කෘග්මන් සහ එක්සත් ජනපද භාණ්ඩාගාර ලේකම් තිමෝති ගීත්නර් වැනි විචාරකයින් තර්ක කර ඇත්තේ නියාමන රාමුව සෙවනැලි බැංකු ක්‍රමයේ වැඩි වන වැදගත්කම, ව්‍යුත්පන්නයන් සහ ශේෂ පත්‍රයෙන් මුදල් සැපයීම වැනි මූල්‍ය නවෝත්පාදනයන් සමඟ නොගැලපෙන බවයි. මෑතදී ඕඊසීඩී අධ්‍යයනයකින් හෙළි වූයේ බාසල් ගිවිසුම් මත පදනම් වූ බැංකු නියාමනය සාම්ප්‍රදායික නොවන ව්‍යාපාරික භාවිතයන් දිරිමත් කරන අතර මූල්‍ය අර්බුදයට දායක වූ හෝ ශක්තිමත් කළ බවයි. වෙනත් අවස්ථාවල දී, මූල්‍ය පද්ධතියේ සමහර කොටස්වල නීති වෙනස් කිරීම හෝ බලාත්මක කිරීම දුර්වල විය. ප්‍රධාන උදාහරණ අතරට: බටහිරින් සංක්‍රමණය වීමෙන් පසු පරම්පරාවන්හි, පෝලන්තය, රුසියාව සහ බෙලාරුස් වැනි ස්ථානවල යුදෙව් ප්‍රජාවන් සාපේක්ෂව ස්ථාවර සමාජ-දේශපාලන පරිසරයක් භුක්ති වින්දා. සශ්‍රීක ප්‍රකාශන කර්මාන්තයක් සහ බයිබලානුකුල විවරණ සිය ගණනක් මුද්‍රණය කිරීම හසිඩික් ව්‍යාපාරයේ මෙන්ම ප්‍රධාන යුදෙව් අධ්‍යයන මධ්‍යස්ථානවල වර්ධනයට හේතු විය. නව ජාතීන්ගේ සංසන්දනාත්මක ඉවසීමේ ශතවර්ෂ දෙකකට පසු, 19 වන සහ 20 වන සියවස් වලදී නැගෙනහිර දෙසින් සිදු වූ සංහාරයන්ට සහ ලෝකයේ වෙනත් රටවල ආර්ථික අවස්ථාවන්ට ප්‍රතිචාර වශයෙන් දැවැන්ත බටහිර දෙසට සංක්‍රමණය විය. අෂ්කෙනසි යුදෙව්වන් 1750 සිට ඇමරිකානු යුදෙව් ප්‍රජාවෙන් බහුතරයක් වෙති. ආර්ථික විද්‍යා Paul පෝල් කෘග්මන් සහ එක්සත් ජනපද භාණ්ඩාගාර ලේකම් තිමෝති ගීත්නර් වැනි විචාරකයින් තර්ක කර ඇත්තේ නියාමන රාමුව සෙවනැලි බැංකු ක්‍රමයේ වැඩි වන වැදගත්කම, ව්‍යුත්පන්නයන් සහ ශේෂ පත්‍රයෙන් මුදල් සැපයීම වැනි මූල්‍ය නවෝත්පාදනයන් සමඟ නොගැලපෙන බවයි. මෑතදී ඕඊසීඩී අධ්‍යයනයකින් හෙළි වූයේ බාසල් ගිවිසුම් මත පදනම් වූ බැංකු නියාමනය සාම්ප්‍රදායික නොවන ව්‍යාපාරික භාවිතයන් දිරිමත් කරන අතර මූල්‍ය අර්බුදයට දායක වූ හෝ ශක්තිමත් කළ බවයි. වෙනත් අවස්ථාවල දී, මූල්‍ය පද්ධතියේ සමහර කොටස්වල නීති වෙනස් කිරීම හෝ බලාත්මක කිරීම දුර්වල විය. ප්‍රධාන උදාහරණ අතරට: බටහිරින් සංක්‍රමණය වීමෙන් පසු පරම්පරාවන්හි, පෝලන්තය, රුසියාව සහ බෙලාරුස් වැනි ස්ථානවල යුදෙව් ප්‍රජාවන් සාපේක්ෂව ස්ථාවර සමාජ-දේශපාලන පරිසරයක් භුක්ති වින්දා. සශ්‍රීක ප්‍රකාශන කර්මාන්තයක් සහ බයිබලානුකුල විවරණ සිය ගණනක් මුද්‍රණය කිරීම හසිඩික් ව්‍යාපාරයේ මෙන්ම ප්‍රධාන යුදෙව් අධ්‍යයන මධ්‍යස්ථානවල වර්ධනයට හේතු විය. නව ජාතීන්ගේ සංසන්දනාත්මක ඉවසීමේ ශතවර්ෂ දෙකකට පසු, 19 වන සහ 20 වන සියවස් වලදී නැගෙනහිර දෙසින් සිදු වූ සංහාරයන්ට සහ ලෝකයේ වෙනත් රටවල ආර්ථික අවස්ථාවන්ට ප්‍රතිචාර වශයෙන් දැවැන්ත බටහිර දෙසට සංක්‍රමණය විය. අෂ්කෙනසි යුදෙව්වන් 1750 සිට ඇමරිකානු යුදෙව් ප්‍රජාවෙන් බහුතරයක් වෙති.",තැටියක මුළු ධාරිතාව කොපමණද?,128k
1,1954,"128k 16 වන ශතවර්ෂය වන තුරුම වාසාරිගේ ලිවීමත් සමඟ කලාවේ ශෛලිය පිළිබඳ සංකල්පය වර්ධනය නොවීය: 18 වන සියවස වන විට ඔහුගේ විශිෂ්ටතම චිත්‍ර ශිල්පීන්, මූර්ති ශිල්පීන් සහ ගෘහ නිර්මාණ ශිල්පීන්ගේ ජීවිත ඉතාලි, ප්‍රංශ, ස්පා Spanish ් and සහ ඉංග්‍රීසි භාෂාවලට පරිවර්තනය කර තිබුණි.",කලා ශෛලීන් නිර්මාණය කළේ කවදාද?,16 වන සියවස
2,1955,"පුද්ගලයෙකුගේ ස්වයං වාර්තාවක් වේදනාවේ වඩාත් විශ්වාසදායක මිනුම වන අතර සෞඛ්‍ය සේවා වෘත්තිකයන් බරපතලකම අවතක්සේරු කිරීමට පෙළඹේ. හෙද සේවයේ බහුලව භාවිතා වන වේදනාව පිළිබඳ අර්ථ දැක්වීමක්, එහි ආත්මීය ස්වභාවය සහ රෝගියාගේ වාර්තා විශ්වාස කිරීමේ වැදගත්කම අවධාරණය කරමින් 1968 දී මාගෝ මැකැෆෙරි විසින් හඳුන්වා දෙන ලදී: “වේදනාව යනු අත්දැකීම් ඇති පුද්ගලයා පවසන ඕනෑම දෙයක්, ඔහු පවසන සෑම අවස්ථාවකම පවතී”. තීව්‍රතාවය තක්සේරු කිරීම සඳහා, රෝගියාට ඔවුන්ගේ වේදනාව 0 සිට 10 දක්වා පරිමාණයකින් සොයා ගැනීමට ඉල්ලා සිටිය හැකි අතර, 0 කිසිසේත්ම වේදනාවක් නොමැති අතර, ඔවුන්ට මෙතෙක් දැනී ඇති දරුණුතම වේදනාව 10 කි. මැක්ගිල් වේදනා ප්‍රශ්නාවලිය සම්පූර්ණ කිරීමෙන් රෝගියාගේ වේදනාව වඩාත් හොඳින් විස්තර කරන්නේ කුමන වචනද යන්න සඳහන් කිරීමෙන් ගුණාත්මකභාවය තහවුරු කර ගත හැකිය. මැක්ගිල් වේදනා ප්‍රශ්නාවලිය සම්පූර්ණ කිරීමෙන් රෝගියාගේ වේදනාව වඩාත් හොඳින් විස්තර කරන්නේ කුමන වචනද යන්න සඳහන් කිරීමෙන් ගුණාත්මකභාවය තහවුරු කර ගත හැකිය.",සෞඛ්‍ය සේවා වෘත්තිකයන් අවතක්සේරු කිරීමට නැඹුරු වන්නේ කුමක් ද?,බරපතලකම
3,1956,"එරිත්‍රියාවේ සංස්කෘතිය බොහෝ දුරට හැඩගස්වා ඇත්තේ රට රතු මුහුදේ පිහිටි ස්ථානය අනුව ය. එරිත්‍රියානු සංස්කෘතියේ වඩාත් හඳුනාගත හැකි අංගයක් වන්නේ කෝපි උත්සවයයි. මිතුරන් බැලීමට, උත්සව අවස්ථාවන්හිදී හෝ දෛනික ජීවිතයේ ප්‍රධාන ආහාරයක් ලෙස කෝපි (ගීස්බන්) පිරිනමනු ලැබේ. කෝපි උත්සවය අතරතුර, පිළිගත් සම්ප්‍රදායන් ඇත. කෝපි වට තුනකින් පිරිනමනු ලැබේ: පළමු බීර හෝ වටය ටයිග්‍රින්යා හි අවෙල් ලෙසද, දෙවන වටය කලෙයි ලෙසද දෙවන අර්ථය වන අතර තෙවන වටය බෙරෙකා ලෙසද හැඳින්වේ. කෝපි ආචාරශීලී ලෙස ප්‍රතික්ෂේප වුවහොත් බොහෝ විට තේ (""ෂයි"" ሻሂ ෂහී) ලබා දෙනු ඇත. කෝපි ආචාරශීලී ලෙස ප්‍රතික්ෂේප වුවහොත් බොහෝ විට තේ (""ෂයි"" ሻሂ ෂහී) ලබා දෙනු ඇත.",මිතුරන් බැලීමට මෙන්ම එදිනෙදා ජීවිතයේ ප්‍රධාන ආහාරයක් ලෙස ඉදිරිපත් කළ හැකි එරිත්‍රන් සංස්කෘතියේ වඩාත් හඳුනාගත හැකි අංගයක් කුමක්ද?,කෝපි උත්සවය
4,1957,"කෝපි උත්සවය කෙසේ වෙතත්, මෙම ප්‍රමේයයන් සාමාන්‍ය සාපේක්ෂතාවාදය නිවැරදි යැයි උපකල්පනය කරයි, නමුත් විශ්වය ප්ලාන්ක් උෂ්ණත්වයට ළඟා වීමට පෙර සාමාන්‍ය සාපේක්ෂතාවාදය බිඳ වැටිය යුතු අතර ක්වොන්ටම් ගුරුත්වාකර්ෂණය පිළිබඳ නිවැරදි ප්‍රතිකාරයක් මගින් ඒකීයභාවය වළක්වා ගත හැකිය.",මෙම ප්‍රමේයයන් උපකල්පනය කළ යුත්තේ නිවැරදි න්‍යාය කුමක්ද?,මෙම ප්‍රමේයයන් උපකල්පනය කළ යුත්තේ නිවැරදි න්‍යාය කුමක්ද?
5,1958,"ඩොලර් කාසි එක්සත් ජනපදයේ එතරම් ජනප්‍රිය වී නොමැත. රිදී ඩොලර් 1794 සිට 1935 දක්වා වරින් වර මුද්‍රණය කරන ලදී; ජනාධිපති ඩ්වයිට් ඩී. අයිසන්හවර්ගේ විශාල ප්‍රමාණයේ තඹ-නිකල් ඩොලරයක් 1971 සිට 1978 දක්වා මුද්‍රණය කරන ලදී. 19 වන සියවසේදී රන් ඩොලර් ද අච්චු කරන ලදී. සුසාන් බී ඇන්තනි ඩොලර් කාසිය 1979 දී හඳුන්වා දෙන ලදී; මේවා ජනප්‍රිය නොවූ බව ඔප්පු වූයේ ඒවා බොහෝ විට කාර්තු ලෙස වරදවා වටහාගෙන ඇති නිසා ඒවායේ සමාන ප්‍රමාණය, අඹරන ලද දාරය සහ ඒවායේ සමාන වර්ණය නිසාය. සංසරණය සඳහා මෙම ඩොලර් කැණීම 1980 දී අත්හිටුවන ලදි (එකතුකරන්නන්ගේ කෑලි 1981 දී පහර දෙන ලදි), නමුත්, අතීත එක්සත් ජනපද කාසි මෙන්ම, ඒවා නීතිමය ටෙන්ඩරයක් ලෙස පවතී. ෆෙඩරල් සංචිතය සතුව තිබූ ඇන්තනි ඩොලර් ගණන සහ තැපැල් හා සංක්‍රමණ විකුණුම් යන්ත්‍රවල වෙනසක් සිදු කිරීම සඳහා මූලික වශයෙන් බෙදා හැරීම නිසා, 1999 දී අතිරේක ඇන්තනි ඩොලර් වලට පහර දෙන ලදී. 2000 දී, සකාගාවියා (සකාගාවියා) ඇතුළත් නව ඩොලර් 1 කාසියක් ඩොලරය) හඳුන්වා දෙන ලද අතර, ඇන්තනි ඩොලරය පිළිගන්නා විකුණුම් යන්ත්‍රවල වෙනස්කම් අවශ්‍ය නොවී සුමට දාරයක් සහ රන් වර්ණයක් තිබීම නිසා ඇන්තනි ඩොලරයේ සමහර ගැටලු නිවැරදි කරන ලදී. කෙසේ වෙතත්, මෙම නව කාසිය තවමත් පවතින ඩොලර් 1 බිල්පතේ ජනප්‍රියත්වය ලබා ගැනීමට අපොහොසත් වී ඇති අතර එය දෛනික ගනුදෙනු සඳහා කලාතුරකින් භාවිතා වේ. ඩොලර් බිල්පත එකවරම ඉල්ලා අස්කර ගැනීමට අපොහොසත් වීම සහ දුර්වල ප්‍රචාරක උත්සාහයන් ඩොලරයේ කාසිය මහජන සහයෝගය ලබා ගැනීමට අසමත් වීමට මූලික හේතු ලෙස කාසි යෝජනා කරන්නන් විසින් පෙන්වා දී ඇත. ඩොලරයේ පනත එකවරම ඉල්ලා අස්කර ගැනීමට අපොහොසත් වීම සහ දුර්වල ප්‍රචාරක උත්සාහයන් ඩොලරයේ කාසිය මහජන සහයෝගය ලබා ගැනීමට අපොහොසත් වීමට මූලික හේතු ලෙස කාසි යෝජනා කරන්නන් විසින් පෙන්වා දී ඇත.",තඹ - නිකල් ඩොලරයේ පෙනී සිටියේ කවුද?,ජනාධිපති ඩ්වයිට් ඩී. අයිසන්හවර්
6,1959,"ස්විට්සර්ලන්තයේ කඳු 48 ක් උසට හෝ ඊට වඩා ඉහළින් මුහුදට මීටර් 4,000 (අඩි 13,000) ක් උසයි. මීටර 4,634 (අඩි 15,203) ක උසකින් යුත් මොන්ටේ රෝසා, මැටර්හෝර්න් (මීටර් 4,478 හෝ අඩි 14,692) බොහෝ විට වඩාත් ප්‍රසිද්ධ ලෙස සැලකේ. දෙකම වලයිස් කන්තෝරුවේ පෙන්යින් ඇල්ප්ස් තුළ පිහිටා ඇත. දිය ඇලි 72 ක් අඩංගු ගැඹුරු ග්ලැසියර ලෝටර්බන්නන් නිම්නයට ඉහළින් පිහිටි බර්නිස් ඇල්ප්ස් කොටස ජුන්ග්ෆ්‍රාවු (මීටර් 4,158 හෝ අඩි 13,642) ඊගර් සහ මන්ච් සහ කලාපයේ සුන්දර නිම්න බොහොමයකට ප්‍රසිද්ධය. ගිනිකොන දෙසින් ග්‍රැබුන්ඩන් කන්තෝරුවේ ශාන්ත මොරිට්ස් ප්‍රදේශය ආවරණය වන පරිදි දිගු එන්ගඩින් නිම්නය ද ප්‍රකට ය; අසල්වැසි බර්නානා ඇල්ප්ස් හි උසම කඳු මුදුන වන්නේ පීස් බර්නානා (මීටර් 4,049 හෝ අඩි 13,284) ය. ගිනිකොන දෙසින් ග්‍රැබුන්ඩන් කන්තෝරුවේ ශාන්ත මොරිට්ස් ප්‍රදේශය ආවරණය වන පරිදි දිගු එන්ගඩින් නිම්නය ද ප්‍රකට ය; අසල්වැසි බර්නානා ඇල්ප්ස් හි උසම කඳු මුදුන වන්නේ පීස් බර්නානා (මීටර් 4,049 හෝ අඩි 13,284) ය.",මුහුදු මට්ටමේ සිට අවම වශයෙන් මීටර් 4000 ක් ඉහළින් පිහිටි ස්විට්සර්ලන්තයේ කඳු කීයක් තිබේද?,48 යි
7,1960,"මින්ඩාගාස් විසින් ලිතුවේනියා රාජධානිය නිර්මාණය කිරීමට පෙර ලිතුවේනියා ප්‍රොප්‍රියා සහ සමෝගිතියාවේ, වංශාධිපතියන් ජර්මානු භාෂාවෙන් ලියා ඇති මූලාශ්‍රවල ඩයි බෙස්ට් ලුටන් ලෙස නම් කරන ලදී. ලිතුවේනියානු භාෂාවෙන් වංශවතුන් පොනයි ලෙස නම් කරන ලදී. ඉහළ වංශවතුන් නම් කරන ලද්දේ 'කුනිගයි' හෝ 'කුනිගයිකායි' (ආදිපාදවරියන්) —i.e., ස්කැන්ඩිනාවික් කොනුන්ග් වෙතින් ණයවරය. ඔවුන් ස්ථාපිත ප්‍රාදේශීය නායකයන් සහ යුද නායකයන් විය. රාජ්යයේ සංවර්ධනය අතරතුර ඔවුන් ක්රමයෙන් ඉහළ ආදිපාදවරුන්ටත් පසුව ලිතුවේනියාවේ රජුටත් යටත් විය. 14 වන ශතවර්ෂයේ මැද භාගයේදී ලිතුවේනියානු ආදිපාදවරිය රුතීනියා දේශයට ව්‍යාප්ත වීම නිසා රුතේනියානු (නූතන යුක්රේන සහ බෙලාරුසියානු භාෂා) වෙතින් වංශවත් බජෝරායි නම් වූ නව යෙදුමක් පෙනෙන්නට තිබුණි. අද දක්වා මෙම වචනය ලිතුවේනියානු භාෂාවෙන් වංශවත් අය නම් කිරීමට භාවිතා කරයි, එය තමාට පමණක් නොව, වෙනත් රටවල වංශවත් අයටද වේ. අද දක්වා මෙම වචනය ලිතුවේනියානු භාෂාවෙන් වංශවත් අය නම් කිරීමට භාවිතා කරයි, එය තමාට පමණක් නොව, වෙනත් රටවල වංශවත් අයටද වේ.",උසස් වංශවත් අය නම් කළේ කුමක් ද?,kunigai 'හෝ' kunigaikščiai '
8,1961,"2007 සහ 2011 ලීග් කුසලාන අවසන් මහා තරඟයට ආර්සෙනාල් පැමිණියේය. පිළිවෙලින් චෙල්සි සහ බර්මින්හැම් සිටි වෙතින් 2-1 ක් ලෙස පරාජයට පත්විය. 2005 FA කුසලාන තරඟාවලියේ සිට 2014 මැයි 17 වන දින දක්වා සමාජ ශූරතාවලිය විශාල කුසලානයක් ලබා නොතිබුණි. 2014 FA කුසලාන අවසන් මහා තරඟයේදී ආර්සෙනල් විසින් හල් සිටි පරාජය කරන ලදී. මෙය ඔවුන් 2014 FA ප්‍රජා පලිහ සඳහා සුදුසුකම් ලබා ඇති අතර එහිදී ඔවුන් ප්‍රිමියර් ලීග් ශූරයන් වන මැන්චෙස්ටර් සිටි සමඟ ක්‍රීඩා කරනු ඇත. මාස 3 ක් තුළ ඔවුන්ගේ දෙවන කුසලානය දිනා ගනිමින් ඔවුන් තරගයේ 3-0ක විශිෂ්ට ජයක් වාර්තා කළහ. ඔවුන්ගේ ප්‍රජා පලිහ ජයග්‍රහණයෙන් මාස නවයකට පසු, ආර්සෙනාල් අඛණ්ඩව දෙවන වරටත් එෆ්.ඒ. 2015 අගෝස්තු 2 වන දින, ආර්සෙනල් විසින් වෙම්බ්ලි ක්‍රීඩාංගණයේදී චෙල්සියාව 1–0ක් ලෙස පරාජය කරමින් ප්‍රජා පලිහ රඳවා තබා ගනිමින් ඔවුන්ගේ 14 වන ප්‍රජා පලිහ ශූරතාව දිනා ගැනීමට සමත් විය. 2015 අගෝස්තු 2 වන දින, ආර්සෙනල් විසින් වෙම්බ්ලි ක්‍රීඩාංගණයේදී චෙල්සියාව 1–0ක් ලෙස පරාජය කරමින් ප්‍රජා පලිහ රඳවා තබා ගනිමින් ඔවුන්ගේ 14 වන ප්‍රජා පලිහ ශූරතාව දිනා ගැනීමට සමත් විය.",FA කුසලාන ඉතිහාසයේ වඩාත්ම සාර්ථක කණ්ඩායම බවට පත් කිරීමට ආර්සෙනාල්ට ජයග්‍රහණ කීයක් තිබේද?,12
9,1962,"12 සාපේක්ෂව බලන කල, ජෛවගෝලයේ මුළු ස්කන්ධය TtC 4 (කාබන් ටොන් ට්‍රිලියන) තරම් යැයි ගණන් බලා ඇත.",පෘථිවියේ මෙතෙක් ජීවත් වූ විශේෂ කීයක් තිබේද?,විශේෂ බිලියන පහකට වඩා
